onset	duration	trial_type	relevant_rank	irrelevant_rank
10.571131	2	F1	2.0	4.0
29.240683	2	F1	3.0	2.0
47.1573606	2	F1	1.0	4.0
66.0096288	2	F1	3.0	4.0
84.403422	2	F1	2.0	1.0
102.1789872	2	F1	1.0	4.0
124.7513414	2	F1	1.0	4.0
149.5327549	2	F1	4.0	2.0
169.8806737	2	F1	2.0	3.0
185.411856	2	F1	1.0	3.0
201.0274962	2	F1	1.0	4.0
216.7941777	2	F1	1.0	2.0
232.027915	2	F1	3.0	2.0
248.226821	2	F1	3.0	1.0
264.8259676	2	F1	4.0	4.0
281.6243144	2	F1	1.0	4.0
298.0573901	2	F1	2.0	2.0
312.8061585	2	F1	2.0	4.0
328.5721013	2	F1	4.0	2.0
346.4228102	2	F1	1.0	1.0
