onset	duration	trial_type	relevant_rank	irrelevant_rank	E	Diag
18.7595894	2	F2	1.0	3.0	1.414213562	1.414213562
38.5574555	2	F2	4.0	2.0	2.236067977	0.707106781
60.2344721	2	F2	2.0	2.0	2.236067977	0.707106781
76.4843429	2	F2	1.0	4.0	2.236067977	0.707106781
93.5874019	2	F2	4.0	1.0	4.242640687	0
108.9364944	2	F2	1.0	4.0	3.16227766	1.414213562
128.8192418	2	F2	2.0	3.0	2.236067977	2.121320344
150.3742308	2	F2	2.0	1.0	2.236067977	2.121320344
168.3334156	2	F2	4.0	2.0	3.16227766	2.828427125
185.9101765	2	F2	1.0	2.0	2.236067977	0.707106781
201.4641798	2	F2	4.0	4.0	3.16227766	2.828427125
224.1975331	2	F2	1.0	3.0	2.236067977	0.707106781
250.6614012	2	F2	2.0	3.0	1.414213562	1.414213562
267.1268791	2	F2	2.0	1.0	1.414213562	1.414213562
289.7088418	2	F2	3.0	2.0	2.236067977	2.121320344
305.7621616	2	F2	2.0	1.0	2.828427125	2.828427125
323.0129688	2	F2	4.0	3.0	1.414213562	0
340.0629933	2	F2	3.0	1.0	3.605551275	0.707106781
355.5117407	2	F2	1.0	1.0	2.828427125	2.828427125
371.0371809	2	F2	4.0	2.0	2.236067977	0.707106781
