onset	duration	trial_type	relevant_rank	irrelevant_rank
10.568321	2	hard	3	1
29.9249431	2	easy	3	2
50.6580275	2	easy	1	4
69.6271514	2	easy	2	2
86.3113543	2	easy	4	1
102.5273294	2	easy	1	2
120.1440834	2	hard	4	4
140.8650093	2	easy	1	3
160.6177826	2	easy	4	4
178.3854615	2	easy	2	4
194.9518875	2	easy	4	2
214.1042261	2	hard	3	4
238.6958077	2	hard	4	3
260.1606657	2	hard	2	3
279.6870786	2	hard	1	1
299.0055929	2	easy	1	2
315.6572518	2	hard	2	1
332.8067376	2	easy	4	1
349.0557795	2	easy	2	2
364.5383745	2	hard	2	1
