onset	duration	trial_type	relevant_rank	irrelevant_rank
10.5648377	2	F1	2.0	4.0
29.4837147	2	F1	1.0	4.0
49.4624471	2	F1	4.0	1.0
66.0948881	2	F1	3.0	1.0
83.1045086	2	F1	1.0	2.0
104.8923863	2	F1	2.0	2.0
125.8131189	2	F1	2.0	3.0
144.1814526	2	F1	4.0	2.0
165.4221516	2	F1	1.0	4.0
184.7883704	2	F1	1.0	3.0
201.5384226	2	F1	2.0	2.0
220.9745021	2	F1	2.0	1.0
243.55059	2	F1	3.0	2.0
265.9361532	2	F1	1.0	2.0
287.7578943	2	F1	4.0	4.0
308.6288332	2	F1	3.0	4.0
325.596022	2	F1	2.0	4.0
341.5612458	2	F1	1.0	2.0
360.2142525	2	F1	3.0	2.0
379.2657436	2	F1	3.0	1.0
