onset	duration	trial_type	relevant_rank	irrelevant_rank	E
17.214598	2	F2	4.0	1.0	3.605551275
39.2266986	2	F2	2.0	1.0	3.16227766
57.1619343	2	F2	3.0	2.0	1.414213562
72.4942606	2	F2	1.0	3.0	2.828427125
91.1784753	2	F2	2.0	1.0	1.414213562
116.0753053	2	F2	4.0	3.0	2.236067977
133.0202792	2	F2	4.0	2.0	2.236067977
152.8066588	2	F2	3.0	4.0	2.236067977
175.5052072	2	F2	4.0	1.0	4.242640687
191.5375385	2	F2	4.0	2.0	3.16227766
209.0127158	2	F2	4.0	1.0	2.236067977
230.4018825	2	F2	3.0	4.0	3.16227766
254.1669792	2	F2	4.0	1.0	1.414213562
275.1784637	2	F2	3.0	1.0	2.236067977
297.8012209	2	F2	3.0	3.0	1.414213562
316.9201494	2	F2	1.0	1.0	3.605551275
331.7350402	2	F2	3.0	3.0	1.414213562
348.852074	2	F2	4.0	4.0	3.605551275
369.0388767	2	F2	2.0	3.0	1.414213562
386.9578227	2	F2	2.0	4.0	3.16227766
