onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.4058841	2	F2	4.0	3.0	-63.4349488229220
34.4227673	2	F2	4.0	1.0	-63.4349488229220
51.012118	2	F2	2.0	2.0	-45
66.211645	2	F2	1.0	2.0	-63.4349488229220
84.6770092	2	F2	3.0	4.0	45
100.4259267	2	F2	1.0	4.0	-63.4349488229220
122.4435169	2	F2	4.0	3.0	56.3099324740202
148.4360766	2	F2	1.0	4.0	-56.3099324740202
167.3549418	2	F2	3.0	1.0	-45
182.7710038	2	F2	3.0	1.0	-71.5650511770780
201.2696115	2	F2	4.0	1.0	-18.4349488229220
215.9866966	2	F2	4.0	2.0	-45
232.603214	2	F2	4.0	4.0	63.4349488229220
251.5335705	2	F2	1.0	1.0	63.4349488229220
266.4328168	2	F2	2.0	3.0	26.5650511770780
281.4518616	2	F2	2.0	4.0	-26.5650511770780
296.7005429	2	F2	4.0	2.0	45
316.7371186	2	F2	4.0	1.0	-71.5650511770780
336.3566675	2	F2	1.0	2.0	-45
351.9437143	2	F2	3.0	1.0	-63.4349488229220
