onset	duration	trial_type	relevant_rank	irrelevant_rank	D	I
17.214598	2	incon	4.0	1.0	2.0	3.0
39.2266986	2	incon	2.0	1.0	1.0	3.0
57.1619343	2	incon	3.0	2.0	1.0	1.0
72.4942606	2	incon	1.0	3.0	2.0	2.0
91.1784753	2	incon	2.0	1.0	1.0	1.0
116.0753053	2	con	4.0	3.0	2.0	1.0
133.0202792	2	incon	4.0	2.0	2.0	1.0
152.8066588	2	incon	3.0	4.0	1.0	2.0
175.5052072	2	incon	4.0	1.0	3.0	3.0
191.5375385	2	incon	4.0	2.0	3.0	1.0
209.0127158	2	incon	4.0	1.0	2.0	1.0
230.4018825	2	con	3.0	4.0	1.0	3.0
254.1669792	2	incon	4.0	1.0	1.0	1.0
275.1784637	2	incon	3.0	1.0	2.0	1.0
297.8012209	2	con	3.0	3.0	1.0	1.0
316.9201494	2	con	1.0	1.0	2.0	3.0
331.7350402	2	incon	3.0	3.0	1.0	1.0
348.852074	2	con	4.0	4.0	3.0	2.0
369.0388767	2	incon	2.0	3.0	1.0	1.0
386.9578227	2	incon	2.0	4.0	1.0	3.0
