onset	duration	trial_type	relevant_rank	irrelevant_rank	D	I
17.214598	2	easy	1	4	2	3
39.2266986	2	hard	3	4	1	3
57.1619343	2	hard	2	3	1	1
72.4942606	2	easy	4	2	2	2
91.1784753	2	hard	3	4	1	1
116.0753053	2	easy	1	2	2	1
133.0202792	2	easy	1	3	2	1
152.8066588	2	hard	2	1	1	2
175.5052072	2	easy	1	4	3	3
191.5375385	2	easy	1	3	3	1
209.0127158	2	easy	1	4	2	1
230.4018825	2	hard	2	1	1	3
254.1669792	2	hard	1	4	1	1
275.1784637	2	easy	2	4	2	1
297.8012209	2	hard	2	2	1	1
316.9201494	2	easy	4	4	2	3
331.7350402	2	hard	2	2	1	1
348.852074	2	easy	1	1	3	2
369.0388767	2	hard	3	2	1	1
386.9578227	2	hard	3	1	1	3
