onset	duration	trial_type	relevant_rank	irrelevant_rank
27.294356	2	choose	2	3
59.527415	2	choose	4	2
125.5423458	2	choose	4	1
160.6296553	2	choose	2	4
180.8473334	2	choose	4	1
216.3326792	2	choose	3	4
232.9421966	2	choose	3	2
248.865014	2	choose	1	1
284.8843212	2	choose	1	4
317.2532473	2	choose	2	2
334.9523305	2	choose	1	2
17.305186	2	choose	1	3
49.4695757	2	choose	1	2
81.6509438	2	choose	3	3
99.0998103	2	choose	4	4
116.4497578	2	choose	1	1
150.4836655	2	choose	4	1
206.6241263	2	choose	1	3
276.0087855	2	choose	4	2
306.2221921	2	choose	2	4

