onset,duration,trial_type,type,EASY,relevant_rank,irrelevant_rank,D,I,E,A
8.0253821,1,2,,,,,,,,
24.7592877,1,1,,,,,,,,
40.8370614,1,1,,,,,,,,
56.9907987,1,1,,,,,,,,
73.073954,1,2,,,,,,,,
89.1064126,1,2,,,,,,,,
106.5070365,1,1,,,,,,,,
123.0070163,1,2,,,,,,,,
140.0236632,1,1,,,,,,,,
158.0969452,1,1,,,,,,,,
178.3119747,1,2,,,,,,,,
197.4973017,1,1,,,,,,,,
213.7973217,1,2,,,,,,,,
230.4089986,1,1,,,,,,,,
246.3296831,1,1,,,,,,,,
264.4146404,1,2,,,,,,,,
282.3489002,1,1,,,,,,,,
297.4641332,1,2,,,,,,,,
314.7202122,1,1,,,,,,,,
332.4190153,1,2,,,,,,,,
10.561155,2,22,easy,TRUE,3,1,,,,
27.294356,2,11,hard,FALSE,2,3,,,,
43.3703424,2,11,easy,TRUE,4,1,,,,
59.527415,2,11,easy,TRUE,4,2,,,,
75.6092018,2,22,hard,FALSE,2,2,,,,
91.641702,2,22,hard,FALSE,3,3,,,,
109.0424728,2,11,easy,TRUE,4,4,,,,
125.5423458,2,22,hard,FALSE,4,1,,,,
142.5591149,2,11,easy,TRUE,2,4,,,,
160.6296553,2,11,hard,FALSE,2,4,,,,
180.8473334,2,22,easy,TRUE,4,1,,,,
200.0341926,2,11,easy,TRUE,3,4,,,,
216.3326792,2,22,hard,FALSE,3,4,,,,
232.9421966,2,11,hard,FALSE,3,2,,,,
248.865014,2,11,easy,TRUE,1,1,,,,
266.9503912,2,22,easy,TRUE,2,1,,,,
284.8843212,2,11,easy,TRUE,1,4,,,,
299.9997908,2,22,hard,FALSE,3,1,,,,
317.2532473,2,11,hard,FALSE,2,2,,,,
334.9523305,2,22,hard,FALSE,1,2,,,,
17.305186,2,222,easy,TRUE,1,3,2,2,2.828427125,-45
34.7370289,2,111,hard,FALSE,3,4,1,1,1.414213562,45
49.4695757,2,111,easy,TRUE,1,2,3,1,3.16227766,-18.43494882
67.0350352,2,111,easy,TRUE,2,3,2,1,2.236067977,-26.56505118
81.6509438,2,222,hard,FALSE,3,3,1,1,1.414213562,45
99.0998103,2,222,hard,FALSE,4,4,1,1,1.414213562,45
116.4497578,2,111,easy,TRUE,1,1,3,3,4.242640687,45
132.0988906,2,222,hard,FALSE,3,2,1,1,1.414213562,-45
150.4836655,2,111,easy,TRUE,4,1,2,3,3.605551275,-56.30993247
168.2456095,2,111,hard,FALSE,3,3,1,1,1.414213562,-45
190.9109567,2,222,easy,TRUE,1,2,3,1,3.16227766,-71.56505118
206.6241263,2,111,easy,TRUE,1,3,2,1,2.236067977,26.56505118
223.508924,2,222,hard,FALSE,4,1,1,3,3.16227766,-18.43494882
239.841794,2,111,hard,FALSE,4,1,1,1,1.414213562,-45
255.3553548,2,111,easy,TRUE,4,2,3,1,3.16227766,18.43494882
276.0087855,2,222,easy,TRUE,4,2,2,1,2.236067977,63.43494882
291.2238461,2,111,easy,TRUE,3,2,2,2,2.828427125,-45
306.2221921,2,222,hard,FALSE,2,4,1,3,3.16227766,-18.43494882
325.7417382,2,111,hard,FALSE,3,1,1,1,1.414213562,-45
341.6241703,2,222,hard,FALSE,2,1,1,1,1.414213562,-45
