onset,duration,trial_type,TYPE,EASY,relevant_rank,irrelevant_rank,D,I,E,A
8.035047,1,2,,,,,,,,
26.7041292,1,2,,,,,,,,
44.6228146,1,1,,,,,,,,
63.4736425,1,1,,,,,,,,
81.8710345,1,2,,,,,,,,
99.6430684,1,2,,,,,,,,
122.2181983,1,1,,,,,,,,
147.0001723,1,2,,,,,,,,
167.3442649,1,2,,,,,,,,
182.8771559,1,2,,,,,,,,
198.4916891,1,2,,,,,,,,
214.2578822,1,2,,,,,,,,
229.4949348,1,1,,,,,,,,
245.6941916,1,1,,,,,,,,
262.2930553,1,1,,,,,,,,
279.0884361,1,2,,,,,,,,
295.5240237,1,2,,,,,,,,
310.2737062,1,2,,,,,,,,
326.039218,1,2,,,,,,,,
343.8872581,1,1,,,,,,,,
10.571131,2,22,hard,FALSE,3,1,,,,
29.240683,2,22,hard,FALSE,2,3,,,,
47.1573606,2,11,easy,TRUE,4,1,,,,
66.0096288,2,11,easy,TRUE,2,1,,,,
84.403422,2,22,hard,FALSE,3,4,,,,
102.1789872,2,22,hard,FALSE,4,1,,,,
124.7513414,2,11,easy,TRUE,4,1,,,,
149.5327549,2,22,easy,TRUE,1,3,,,,
169.8806737,2,22,easy,TRUE,3,2,,,,
185.411856,2,22,easy,TRUE,4,2,,,,
201.0274962,2,22,easy,TRUE,4,1,,,,
216.7941777,2,22,easy,TRUE,4,3,,,,
232.027915,2,11,easy,TRUE,2,3,,,,
248.226821,2,11,hard,FALSE,2,4,,,,
264.8259676,2,11,easy,TRUE,1,1,,,,
281.6243144,2,22,hard,FALSE,4,1,,,,
298.0573901,2,22,hard,FALSE,3,3,,,,
312.8061585,2,22,hard,FALSE,3,1,,,,
328.5721013,2,22,hard,FALSE,1,3,,,,
346.4228102,2,11,easy,TRUE,4,4,,,,
17.9782415,2,222,hard,FALSE,4,3,1,2,2.236067977,26.56505118
37.9654011,2,222,hard,FALSE,1,2,1,1,1.414213562,45
53.8141485,2,111,easy,TRUE,1,3,3,2,3.605551275,-33.69006753
75.6709379,2,111,easy,TRUE,4,2,2,1,2.236067977,26.56505118
90.6029809,2,222,hard,FALSE,2,1,1,3,3.16227766,18.43494882
111.2211235,2,222,hard,FALSE,3,3,1,2,2.236067977,-26.56505118
135.7504016,2,111,easy,TRUE,2,4,2,3,3.605551275,-56.30993247
160.7825914,2,222,easy,TRUE,3,2,2,1,2.236067977,-63.43494882
176.4360918,2,222,easy,TRUE,1,4,2,2,2.828427125,-45
191.8516318,2,222,easy,TRUE,2,3,2,1,2.236067977,-63.43494882
207.667207,2,222,easy,TRUE,2,2,2,1,2.236067977,-63.43494882
223.3828667,2,222,easy,TRUE,1,1,3,2,3.605551275,56.30993247
238.1309848,2,111,easy,TRUE,4,2,2,1,2.236067977,-26.56505118
255.7819246,2,111,hard,FALSE,1,2,1,2,2.236067977,63.43494882
271.3306365,2,111,easy,TRUE,4,4,3,3,4.242640687,45
289.3821962,2,222,hard,FALSE,3,4,1,3,3.16227766,-18.43494882
304.2067039,2,222,hard,FALSE,2,2,1,1,1.414213562,45
318.8781697,2,222,hard,FALSE,2,2,1,1,1.414213562,-45
335.7282152,2,222,hard,FALSE,2,4,1,1,1.414213562,45
354.5804022,2,111,easy,TRUE,1,2,3,2,3.605551275,33.69006753
