onset,duration,trial_type,relevant_rank,irrelevant_rank,D,I,E,A,sin6A,cos6A
8.0253821,1,2,,,,,,,,
24.7592877,1,1,,,,,,,,
40.8370614,1,1,,,,,,,,
56.9907987,1,1,,,,,,,,
73.073954,1,2,,,,,,,,
89.1064126,1,2,,,,,,,,
106.5070365,1,1,,,,,,,,
123.0070163,1,2,,,,,,,,
140.0236632,1,1,,,,,,,,
158.0969452,1,1,,,,,,,,
178.3119747,1,2,,,,,,,,
197.4973017,1,1,,,,,,,,
213.7973217,1,2,,,,,,,,
230.4089986,1,1,,,,,,,,
246.3296831,1,1,,,,,,,,
264.4146404,1,2,,,,,,,,
282.3489002,1,1,,,,,,,,
297.4641332,1,2,,,,,,,,
314.7202122,1,1,,,,,,,,
332.4190153,1,2,,,,,,,,
10.561155,2,22,2,4,,,,,,
27.294356,2,11,3,2,,,,,,
43.3703424,2,11,1,4,,,,,,
59.527415,2,11,1,3,,,,,,
75.6092018,2,22,3,3,,,,,,
91.641702,2,22,2,2,,,,,,
109.0424728,2,11,1,1,,,,,,
125.5423458,2,22,1,4,,,,,,
142.5591149,2,11,3,1,,,,,,
160.6296553,2,11,3,1,,,,,,
180.8473334,2,22,1,4,,,,,,
200.0341926,2,11,2,1,,,,,,
216.3326792,2,22,2,1,,,,,,
232.9421966,2,11,2,3,,,,,,
248.865014,2,11,4,4,,,,,,
266.9503912,2,22,3,4,,,,,,
284.8843212,2,11,4,1,,,,,,
299.9997908,2,22,2,4,,,,,,
317.2532473,2,11,3,3,,,,,,
334.9523305,2,22,4,3,,,,,,
17.305186,2,222,4,2,2,2,2.828427125,-45,1,0
34.7370289,2,111,2,1,1,1,1.414213562,45,-1,0
49.4695757,2,111,4,3,3,1,3.16227766,-18.43494882,-0.936,-0.352
67.0350352,2,111,3,2,2,1,2.236067977,-26.56505118,-0.352,-0.936
81.6509438,2,222,2,2,1,1,1.414213562,45,-1,0
99.0998103,2,222,1,1,1,1,1.414213562,45,-1,0
116.4497578,2,111,4,4,3,3,4.242640687,45,-1,0
132.0988906,2,222,2,3,1,1,1.414213562,-45,1,0
150.4836655,2,111,1,4,2,3,3.605551275,-56.30993247,0.37687756,0.926263086
168.2456095,2,111,2,2,1,1,1.414213562,-45,1,0
190.9109567,2,222,4,3,3,1,3.16227766,-71.56505118,-0.936,0.352
206.6241263,2,111,4,2,2,1,2.236067977,26.56505118,0.352,-0.936
223.508924,2,222,1,4,1,3,3.16227766,-18.43494882,-0.936,-0.352
239.841794,2,111,1,4,1,1,1.414213562,-45,1,0
255.3553548,2,111,1,3,3,1,3.16227766,18.43494882,0.936,-0.352
276.0087855,2,222,1,3,2,1,2.236067977,63.43494882,0.352,0.936
291.2238461,2,111,2,3,2,2,2.828427125,-45,1,0
306.2221921,2,222,3,1,1,3,3.16227766,-18.43494882,-0.936,-0.352
325.7417382,2,111,2,4,1,1,1.414213562,-45,1,0
341.6241703,2,222,3,4,1,1,1.414213562,-45,1,0
