onset	duration	trial_type	relevant_rank	irrelevant_rank
10.571131	2	unchoose	3	1
47.1573606	2	unchoose	4	1
84.403422	2	unchoose	3	4
102.1789872	2	unchoose	4	1
124.7513414	2	unchoose	4	1
169.8806737	2	unchoose	3	2
216.7941777	2	unchoose	4	3
281.6243144	2	unchoose	4	1
312.8061585	2	unchoose	3	1
37.9654011	2	unchoose	1	2
75.6709379	2	unchoose	4	2
160.7825914	2	unchoose	3	2
191.8516318	2	unchoose	2	3
207.667207	2	unchoose	2	2
238.1309848	2	unchoose	4	2
255.7819246	2	unchoose	1	2
271.3306365	2	unchoose	4	4
304.2067039	2	unchoose	2	2
335.7282152	2	unchoose	2	4
354.5804022	2	unchoose	1	2
