onset	duration	trial_type	relevant_rank	irrelevant_rank	E	Diag
16.8700204	2	F2	4.0	4.0	1.414213562	2.828427125
34.9883678	2	F2	3.0	2.0	3.605551275	1.414213562
51.2376314	2	F2	1.0	1.0	3.16227766	2.828427125
66.820201	2	F2	2.0	4.0	2.236067977	1.414213562
87.0078551	2	F2	1.0	1.0	3.16227766	2.121320344
103.9619138	2	F2	2.0	4.0	3.16227766	2.828427125
124.4440525	2	F2	2.0	1.0	2.236067977	1.414213562
140.1099839	2	F2	2.0	3.0	1.414213562	1.414213562
158.4444796	2	F2	1.0	2.0	4.242640687	2.828427125
178.5402408	2	F2	2.0	1.0	3.605551275	2.121320344
199.4891089	2	F2	4.0	4.0	2.236067977	1.414213562
215.7381204	2	F2	3.0	1.0	2.236067977	1.414213562
230.687005	2	F2	4.0	4.0	2.236067977	2.121320344
246.4655216	2	F2	3.0	4.0	2.236067977	2.121320344
261.9518523	2	F2	2.0	2.0	1.414213562	1.414213562
276.9342326	2	F2	4.0	4.0	2.236067977	4.242640687
291.6438609	2	F2	2.0	2.0	4.242640687	2.121320344
314.7334786	2	F2	1.0	1.0	3.605551275	3.535533906
331.9508099	2	F2	1.0	1.0	1.414213562	1.414213562
347.3326197	2	F2	4.0	4.0	2.828427125	2.828427125
