onset	duration	trial_type	relevant_red	relevant_blue	all_rank
10.562961	2	F1	3	4	7
28.7482297	2	F1	2	2	4
49.4351983	2	F1	2	1	3
68.5206903	2	F1	4	2	6
84.6881062	2	F1	1	1	2
100.5190894	2	F1	1	1	2
117.6862631	2	F1	4	4	8
137.1737111	2	F1	3	2	5
156.6775331	2	F1	4	2	6
175.6274014	2	F1	1	3	4
192.6108736	2	F1	4	3	7
207.910019	2	F1	4	3	7
225.5603876	2	F1	4	4	8
243.6619039	2	F1	2	2	4
259.7946429	2	F1	1	1	2
275.2599369	2	F1	2	2	4
290.4095177	2	F1	3	3	6
306.2586785	2	F1	1	2	3
327.2618978	2	F1	2	3	5
350.2681255	2	F1	2	1	3
