onset	duration	trial_type	diag_F1
10.5678992	2	F1	2.828427125
26.1667311	2	F1	4.949747468
40.9647223	2	F1	2.121320344
55.7462847	2	F1	4.949747468
75.8162901	2	F1	3.535533906
97.4710632	2	F1	2.828427125
116.0061757	2	F1	2.828427125
136.8935293	2	F1	4.242640687
159.5161498	2	F1	3.535533906
178.5517838	2	F1	3.535533906
194.8681428	2	F1	5.656854249
210.8671852	2	F1	2.828427125
225.5991419	2	F1	3.535533906
241.9984147	2	F1	4.242640687
260.3668613	2	F1	4.949747468
279.9193382	2	F1	2.121320344
299.0945175	2	F1	4.949747468
317.9603519	2	F1	2.828427125
336.7592537	2	F1	4.242640687
354.5938275	2	F1	4.949747468
