onset	duration	trial_type	relevant_rank	irrelevant_rank	D	I
17.5087722	2	F2	1.0	1.0	3.0	1.0
32.2939214	2	F2	4.0	4.0	2.0	3.0
47.1097492	2	F2	2.0	1.0	2.0	2.0
61.8524331	2	F2	4.0	4.0	3.0	2.0
87.2443584	2	F2	1.0	1.0	2.0	1.0
105.1620868	2	F2	2.0	2.0	1.0	1.0
124.3144774	2	F2	2.0	1.0	2.0	1.0
146.9367814	2	F2	4.0	4.0	2.0	2.0
169.5596704	2	F2	1.0	2.0	1.0	1.0
185.0182554	2	F2	3.0	4.0	1.0	1.0
202.1920279	2	F2	3.0	4.0	2.0	3.0
217.0160449	2	F2	1.0	1.0	2.0	2.0
231.6545427	2	F2	4.0	4.0	1.0	2.0
249.8141296	2	F2	4.0	4.0	3.0	1.0
268.3799773	2	F2	3.0	4.0	2.0	2.0
288.9115493	2	F2	3.0	1.0	1.0	2.0
306.7442335	2	F2	3.0	4.0	1.0	3.0
326.6328	2	F2	1.0	2.0	2.0	1.0
344.350455	2	F2	3.0	4.0	1.0	2.0
362.3015681	2	F2	2.0	4.0	1.0	2.0
