onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.7706608	2	F2	4.0	3.0	45
37.1894602	2	F2	2.0	1.0	63.4349488229220
59.1445853	2	F2	2.0	1.0	71.5650511770780
75.3660847	2	F2	3.0	4.0	26.5650511770780
91.4816485	2	F2	3.0	1.0	71.5650511770780
107.0140114	2	F2	2.0	2.0	45
125.8298244	2	F2	3.0	3.0	45
145.9810848	2	F2	4.0	4.0	26.5650511770780
164.8334112	2	F2	2.0	4.0	45
183.8856686	2	F2	1.0	1.0	18.4349488229220
198.7916626	2	F2	2.0	3.0	45
214.4995633	2	F2	2.0	4.0	63.4349488229220
234.0854988	2	F2	3.0	2.0	26.5650511770780
250.6887098	2	F2	1.0	2.0	26.5650511770780
266.3542934	2	F2	1.0	2.0	33.6900675259798
281.6330844	2	F2	4.0	4.0	45
296.6480003	2	F2	4.0	3.0	26.5650511770780
313.3313552	2	F2	1.0	2.0	18.4349488229220
338.6565985	2	F2	4.0	3.0	45
359.3486234	2	F2	2.0	2.0	63.4349488229220
