onset	duration	trial_type	relevant_red	relevant_blue	all_rank	all_rank_diff
17.7706608	2	F2	1	2	3	4
37.1894602	2	F2	3	4	7	3
59.1445853	2	F2	3	4	7	4
75.3660847	2	F2	2	1	3	3
91.4816485	2	F2	2	4	6	4
107.0140114	2	F2	3	3	6	4
125.8298244	2	F2	2	2	4	4
145.9810848	2	F2	1	1	2	3
164.8334112	2	F2	3	1	4	2
183.8856686	2	F2	4	4	8	4
198.7916626	2	F2	3	2	5	2
214.4995633	2	F2	3	1	4	3
234.0854988	2	F2	2	3	5	3
250.6887098	2	F2	4	3	7	3
266.3542934	2	F2	4	3	7	5
281.6330844	2	F2	1	1	2	2
296.6480003	2	F2	1	2	3	3
313.3313552	2	F2	4	3	7	4
338.6565985	2	F2	1	2	3	2
359.3486234	2	F2	3	3	6	3
