onset	duration	trial_type	diag_F2	diag_diff
17.7706608	2	F2	2.121320344	2.828427125
37.1894602	2	F2	4.949747468	2.121320344
59.1445853	2	F2	4.949747468	2.828427125
75.3660847	2	F2	2.121320344	2.121320344
91.4816485	2	F2	4.242640687	2.828427125
107.0140114	2	F2	4.242640687	2.828427125
125.8298244	2	F2	2.828427125	2.828427125
145.9810848	2	F2	1.414213562	2.121320344
164.8334112	2	F2	2.828427125	1.414213562
183.8856686	2	F2	5.656854249	2.828427125
198.7916626	2	F2	3.535533906	1.414213562
214.4995633	2	F2	2.828427125	2.121320344
234.0854988	2	F2	3.535533906	2.121320344
250.6887098	2	F2	4.949747468	2.121320344
266.3542934	2	F2	4.949747468	3.535533906
281.6330844	2	F2	1.414213562	1.414213562
296.6480003	2	F2	2.121320344	2.121320344
313.3313552	2	F2	4.949747468	2.828427125
338.6565985	2	F2	2.121320344	1.414213562
359.3486234	2	F2	4.242640687	2.121320344
