onset	duration	trial_type	relevant_red	relevant_blue	all_rank
26.1667311	2	choose	3	4	7
55.7462847	2	choose	4	3	7
136.8935293	2	choose	3	3	6
178.5517838	2	choose	3	2	5
194.8681428	2	choose	4	4	8
225.5991419	2	choose	2	3	5
241.9984147	2	choose	4	2	6
260.3668613	2	choose	4	3	7
299.0945175	2	choose	3	4	7
336.7592537	2	choose	3	3	6
354.5938275	2	choose	4	3	7
17.5087722	2	choose	4	4	8
47.1097492	2	choose	3	4	7
87.2443584	2	choose	4	4	8
105.1620868	2	choose	3	3	6
124.3144774	2	choose	3	4	7
169.5596704	2	choose	4	3	7
217.0160449	2	choose	4	4	8
288.9115493	2	choose	2	4	6
326.6328	2	choose	4	3	7
