onset	duration	trial_type	diag_choose	diag_diff
10.5718891	2	choose	4.242640687	2.828427125
60.2975026	2	choose	4.242640687	1.414213562
96.7506393	2	choose	5.656854249	2.828427125
190.2761641	2	choose	2.828427125	1.414213562
224.4769175	2	choose	3.535533906	2.121320344
239.8429996	2	choose	4.242640687	2.121320344
255.4744263	2	choose	5.656854249	1.414213562
270.7067009	2	choose	5.656854249	4.242640687
340.9098954	2	choose	4.242640687	2.828427125
34.9883678	2	choose	3.535533906	1.414213562
51.2376314	2	choose	5.656854249	2.828427125
87.0078551	2	choose	5.656854249	2.121320344
124.4440525	2	choose	4.949747468	1.414213562
140.1099839	2	choose	3.535533906	1.414213562
158.4444796	2	choose	4.949747468	2.828427125
178.5402408	2	choose	4.949747468	2.121320344
215.7381204	2	choose	4.242640687	1.414213562
291.6438609	2	choose	4.242640687	2.121320344
314.7334786	2	choose	5.656854249	3.535533906
331.9508099	2	choose	5.656854249	1.414213562
