onset,duration,trial_type,choose,relevant_rank,irrelevant_rank,D,I,E,A,,,,,,
8.0339407,1,3,,,,,,,,,,,,,
24.666962,1,3,,,,,,,,,,,,,
41.8486746,1,3,,,,,,,,,,,,,
57.7610056,1,3,,,,,,,,,,,,,
75.647073,1,3,,,,,,,,,,,,,
94.2138665,1,3,,,,,,,,,,,,,
112.9330291,1,3,,,,,,,,,,,,,
131.0100858,1,3,,,,,,,,,,,,,
148.0091001,1,3,,,,,,,,,,,,,
167.2249747,1,3,,,,,,,,,,,,,
187.7404106,1,3,,,,,,,,,,,,,
206.3422806,1,3,,,,,,,,,,,,,
221.9416075,1,3,,,,,,,,,,,,,
237.3064175,1,3,,,,,,,,,,,,,
252.9386317,1,3,,,,,,,,,,,,,
268.1705422,1,3,,,,,,,,,,,,,
283.0186407,1,3,,,,,,,,,,,,,
301.9214021,1,3,,,,,,,,,,,,,
322.082643,1,3,,,,,,,,,,,,,
338.3744394,1,3,,,,,,,,,,,,,
10.5718891,2,33,1,3,1,,,,,2,4,6,,4.242640687,2.828427125
27.2002466,2,33,2,4,3,,,,,1,2,3,,2.121320344,-1.414213562
44.3828387,2,33,2,2,4,,,,,3,1,4,,2.828427125,-2.828427125
60.2975026,2,33,1,1,3,,,,,4,2,6,,4.242640687,1.414213562
78.1812083,2,33,2,2,3,,,,,3,2,5,,3.535533906,-2.121320344
96.7506393,2,33,1,1,1,,,,,4,4,8,,5.656854249,2.828427125
115.4691235,2,33,2,3,2,,,,,2,3,5,,3.535533906,-1.414213562
133.5434626,2,33,2,3,4,,,,,2,1,3,,2.121320344,-1.414213562
150.5424698,2,33,2,4,3,,,,,1,2,3,,2.121320344,-2.828427125
169.7578888,2,33,2,3,3,,,,,2,2,4,,2.828427125,-2.121320344
190.2761641,2,33,1,3,3,,,,,2,2,4,,2.828427125,1.414213562
208.8781751,2,33,2,4,2,,,,,1,3,4,,2.828427125,-1.414213562
224.4769175,2,33,1,2,3,,,,,3,2,5,,3.535533906,2.121320344
239.8429996,2,33,1,1,3,,,,,4,2,6,,4.242640687,2.121320344
255.4744263,2,33,1,1,1,,,,,4,4,8,,5.656854249,1.414213562
270.7067009,2,33,1,1,1,,,,,4,4,8,,5.656854249,4.242640687
285.5545041,2,33,2,4,3,,,,,1,2,3,,2.121320344,-2.121320344
304.4577164,2,33,2,4,3,,,,,1,2,3,,2.121320344,-3.535533906
324.6146381,2,33,2,2,2,,,,,3,3,6,,4.242640687,-1.414213562
340.9098954,2,33,1,2,2,,,,,3,3,6,,4.242640687,2.828427125
16.8700204,2,333,2,4,4,1,3,1.414213562,71.56505118,1,1,2,-4,1.414213562,2.828427125
34.9883678,2,333,1,3,2,1,1,3.605551275,45,2,3,5,2,3.535533906,-1.414213562
51.2376314,2,333,1,1,1,1,3,3.16227766,71.56505118,4,4,8,4,5.656854249,-2.828427125
66.820201,2,333,2,2,4,1,1,2.236067977,45,3,1,4,-2,2.828427125,1.414213562
87.0078551,2,333,1,1,1,1,2,3.16227766,63.43494882,4,4,8,3,5.656854249,-2.121320344
103.9619138,2,333,2,2,4,1,3,3.16227766,71.56505118,3,1,4,-4,2.828427125,2.828427125
124.4440525,2,333,1,2,1,1,1,2.236067977,45,3,4,7,2,4.949747468,-1.414213562
140.1099839,2,333,1,2,3,1,1,1.414213562,45,3,2,5,2,3.535533906,-1.414213562
158.4444796,2,333,1,1,2,3,1,4.242640687,18.43494882,4,3,7,4,4.949747468,-2.828427125
178.5402408,2,333,1,2,1,1,2,3.605551275,63.43494882,3,4,7,3,4.949747468,-2.121320344
199.4891089,2,333,2,4,4,1,1,2.236067977,45,1,1,2,-2,1.414213562,1.414213562
215.7381204,2,333,1,3,1,1,1,2.236067977,45,2,4,6,2,4.242640687,-1.414213562
230.687005,2,333,2,4,4,2,1,2.236067977,26.56505118,1,1,2,-3,1.414213562,2.121320344
246.4655216,2,333,2,3,4,2,1,2.236067977,26.56505118,2,1,3,-3,2.121320344,2.121320344
261.9518523,2,333,2,2,2,1,1,1.414213562,45,3,3,6,-2,4.242640687,1.414213562
276.9342326,2,333,2,4,4,3,3,2.236067977,45,1,1,2,-6,1.414213562,4.242640687
291.6438609,2,333,1,2,2,2,1,4.242640687,26.56505118,3,3,6,3,4.242640687,-2.121320344
314.7334786,2,333,1,1,1,3,2,3.605551275,33.69006753,4,4,8,5,5.656854249,-3.535533906
331.9508099,2,333,1,1,1,1,1,1.414213562,45,4,4,8,2,5.656854249,-1.414213562
347.3326197,2,333,2,4,4,2,2,2.828427125,45,1,1,2,-4,1.414213562,2.828427125
