onset	duration	trial_type	relevant_red	relevant_blue	all_rank
28.7482297	2	unchoose	2	2	4
49.4351983	2	unchoose	2	1	3
84.6881062	2	unchoose	1	1	2
100.5190894	2	unchoose	1	1	2
175.6274014	2	unchoose	1	3	4
243.6619039	2	unchoose	2	2	4
259.7946429	2	unchoose	1	1	2
306.2586785	2	unchoose	1	2	3
350.2681255	2	unchoose	2	1	3
17.7706608	2	unchoose	1	2	3
75.3660847	2	unchoose	2	1	3
125.8298244	2	unchoose	2	2	4
145.9810848	2	unchoose	1	1	2
164.8334112	2	unchoose	3	1	4
198.7916626	2	unchoose	3	2	5
214.4995633	2	unchoose	3	1	4
234.0854988	2	unchoose	2	3	5
281.6330844	2	unchoose	1	1	2
296.6480003	2	unchoose	1	2	3
338.6565985	2	unchoose	1	2	3
