onset	duration	trial_type	diag_unchoose	diag_diff
28.7482297	2	unchoose	2.828427125	2.121320344
49.4351983	2	unchoose	2.121320344	2.828427125
84.6881062	2	unchoose	1.414213562	2.828427125
100.5190894	2	unchoose	1.414213562	2.828427125
175.6274014	2	unchoose	2.828427125	2.828427125
243.6619039	2	unchoose	2.828427125	2.121320344
259.7946429	2	unchoose	1.414213562	3.535533906
306.2586785	2	unchoose	2.121320344	2.828427125
350.2681255	2	unchoose	2.121320344	2.121320344
17.7706608	2	unchoose	2.121320344	2.828427125
75.3660847	2	unchoose	2.121320344	2.121320344
125.8298244	2	unchoose	2.828427125	2.828427125
145.9810848	2	unchoose	1.414213562	2.121320344
164.8334112	2	unchoose	2.828427125	1.414213562
198.7916626	2	unchoose	3.535533906	1.414213562
214.4995633	2	unchoose	2.828427125	2.121320344
234.0854988	2	unchoose	3.535533906	2.121320344
281.6330844	2	unchoose	1.414213562	1.414213562
296.6480003	2	unchoose	2.121320344	2.121320344
338.6565985	2	unchoose	2.121320344	1.414213562
