onset,onset
17.214598,17.214598
39.2266986,39.2266986
57.1619343,57.1619343
72.4942606,72.4942606
91.1784753,91.1784753
116.0753053,116.0753053
133.0202792,133.0202792
152.8066588,152.8066588
175.5052072,175.5052072
191.5375385,191.5375385
209.0127158,209.0127158
230.4018825,230.4018825
254.1669792,254.1669792
275.1784637,275.1784637
297.8012209,297.8012209
316.9201494,316.9201494
331.7350402,331.7350402
348.852074,348.852074
369.0388767,369.0388767
386.9578227,386.9578227
407.4058841,411.4058841
424.4227673,428.4227673
441.012118,445.012118
456.211645,460.211645
474.6770092,478.6770092
490.4259267,494.4259267
512.4435169,516.4435169
538.4360766,542.4360766
557.3549418,561.3549418
572.7710038,576.7710038
591.2696115,595.2696115
605.9866966,609.9866966
622.603214,626.603214
641.5335705,645.5335705
656.4328168,660.4328168
671.4518616,675.4518616
686.7005429,690.7005429
706.7371186,710.7371186
726.3566675,730.3566675
741.9437143,745.9437143
763.305186,771.305186
780.7370289,788.7370289
795.4695757,803.4695757
813.0350352,821.0350352
827.6509438,835.6509438
845.0998103,853.0998103
862.4497578,870.4497578
878.0988906,886.0988906
896.4836655,904.4836655
914.2456095,922.2456095
936.9109567,944.9109567
952.6241263,960.6241263
969.508924,977.508924
985.841794,993.841794
1001.355355,1009.355355
1022.008786,1030.008786
1037.223846,1045.223846
1052.222192,1060.222192
1071.741738,1079.741738
1087.62417,1095.62417
1110.759589,1122.759589
1130.557456,1142.557456
1152.234472,1164.234472
1168.484343,1180.484343
1185.587402,1197.587402
1200.936494,1212.936494
1220.819242,1232.819242
1242.374231,1254.374231
1260.333416,1272.333416
1277.910177,1289.910177
1293.46418,1305.46418
1316.197533,1328.197533
1342.661401,1354.661401
1359.126879,1371.126879
1381.708842,1393.708842
1397.762162,1409.762162
1415.012969,1427.012969
1432.062993,1444.062993
1447.511741,1459.511741
1463.037181,1475.037181
1485.980614,1501.980614
1505.728421,1521.728421
1528.818039,1544.818039
1543.899642,1559.899642
1558.614566,1574.614566
1573.463436,1589.463436
1589.857775,1605.857775
1614.0559,1630.0559
1639.037807,1655.037807
1660.436331,1676.436331
1676.318787,1692.318787
1698.670633,1714.670633
1715.087019,1731.087019
1730.635647,1746.635647
1747.519145,1763.519145
1766.01343,1782.01343
1781.403109,1797.403109
1800.755784,1816.755784
1819.91,1835.91
1835.47569,1851.47569
1857.978242,1877.978242
1877.965401,1897.965401
1893.814149,1913.814149
1915.670938,1935.670938
1930.602981,1950.602981
1951.221124,1971.221124
1975.750402,1995.750402
2000.782591,2020.782591
2016.436092,2036.436092
2031.851632,2051.851632
2047.667207,2067.667207
2063.382867,2083.382867
2078.130985,2098.130985
2095.781925,2115.781925
2111.330637,2131.330637
2129.382196,2149.382196
2144.206704,2164.206704
2158.87817,2178.87817
2175.728215,2195.728215
2194.580402,2214.580402
