onset	duration	trial_type	relevant_rank	irrelevant_rank
10.5660115	2	easy	3	1
27.1820487	2	hard	2	2
43.9822973	2	hard	2	4
59.8812582	2	easy	2	4
76.7149474	2	easy	4	3
93.8150628	2	hard	3	3
112.7004959	2	easy	4	4
136.7079451	2	easy	1	3
159.1641641	2	hard	3	3
176.3305212	2	hard	3	1
193.2872796	2	hard	2	1
209.8974258	2	hard	2	2
225.563014	2	easy	3	2
243.3341665	2	easy	2	3
260.2494997	2	easy	1	1
275.2152544	2	easy	1	2
290.3442376	2	hard	2	4
307.9798956	2	easy	4	3
327.8159885	2	hard	3	4
345.415877	2	hard	3	2
