onset	duration	trial_type	relevant_rank	irrelevant_rank
10.5660115	2	F1	2.0	4.0
27.1820487	2	F1	3.0	3.0
43.9822973	2	F1	3.0	1.0
59.8812582	2	F1	3.0	1.0
76.7149474	2	F1	1.0	2.0
93.8150628	2	F1	2.0	2.0
112.7004959	2	F1	1.0	1.0
136.7079451	2	F1	4.0	2.0
159.1641641	2	F1	2.0	2.0
176.3305212	2	F1	2.0	4.0
193.2872796	2	F1	3.0	4.0
209.8974258	2	F1	3.0	3.0
225.563014	2	F1	2.0	3.0
243.3341665	2	F1	3.0	2.0
260.2494997	2	F1	4.0	4.0
275.2152544	2	F1	4.0	3.0
290.3442376	2	F1	3.0	1.0
307.9798956	2	F1	1.0	2.0
327.8159885	2	F1	2.0	1.0
345.415877	2	F1	2.0	3.0
