onset	duration	trial_type	relevant_rank	irrelevant_rank	E
17.4058841	2	F2	4.0	3.0	2.236067977
34.4227673	2	F2	4.0	1.0	2.236067977
51.012118	2	F2	2.0	2.0	1.414213562
66.211645	2	F2	1.0	2.0	2.236067977
84.6770092	2	F2	3.0	4.0	2.828427125
100.4259267	2	F2	1.0	4.0	2.236067977
122.4435169	2	F2	4.0	3.0	3.605551275
148.4360766	2	F2	1.0	4.0	3.605551275
167.3549418	2	F2	3.0	1.0	1.414213562
182.7710038	2	F2	3.0	1.0	3.16227766
201.2696115	2	F2	4.0	1.0	3.16227766
215.9866966	2	F2	4.0	2.0	1.414213562
232.603214	2	F2	4.0	4.0	2.236067977
251.5335705	2	F2	1.0	1.0	2.236067977
266.4328168	2	F2	2.0	3.0	2.236067977
281.4518616	2	F2	2.0	4.0	2.236067977
296.7005429	2	F2	4.0	2.0	1.414213562
316.7371186	2	F2	4.0	1.0	3.16227766
336.3566675	2	F2	1.0	2.0	1.414213562
351.9437143	2	F2	3.0	1.0	2.236067977
