onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.9782415	2	F2	1.0	2.0	26.5650511770780
37.9654011	2	F2	4.0	3.0	45
53.8141485	2	F2	4.0	2.0	-33.6900675259798
75.6709379	2	F2	1.0	3.0	26.5650511770780
90.6029809	2	F2	3.0	4.0	18.4349488229220
111.2211235	2	F2	2.0	2.0	-26.5650511770780
135.7504016	2	F2	3.0	1.0	-56.3099324740202
160.7825914	2	F2	2.0	3.0	-63.4349488229220
176.4360918	2	F2	4.0	1.0	-45
191.8516318	2	F2	3.0	2.0	-63.4349488229220
207.667207	2	F2	3.0	3.0	-63.4349488229220
223.3828667	2	F2	4.0	4.0	56.3099324740202
238.1309848	2	F2	1.0	3.0	-26.5650511770780
255.7819246	2	F2	4.0	3.0	63.4349488229220
271.3306365	2	F2	1.0	1.0	45
289.3821962	2	F2	2.0	1.0	-18.4349488229220
304.2067039	2	F2	3.0	3.0	45
318.8781697	2	F2	3.0	3.0	-45
335.7282152	2	F2	3.0	1.0	45
354.5804022	2	F2	4.0	3.0	33.6900675259798
