onset	duration	trial_type	relevant_rank	irrelevant_rank	D	I
17.4058841	2	incon	4.0	3.0	2.0	1.0
34.4227673	2	incon	4.0	1.0	1.0	2.0
51.012118	2	incon	2.0	2.0	1.0	1.0
66.211645	2	incon	1.0	2.0	2.0	1.0
84.6770092	2	con	3.0	4.0	2.0	2.0
100.4259267	2	incon	1.0	4.0	1.0	2.0
122.4435169	2	con	4.0	3.0	3.0	2.0
148.4360766	2	incon	1.0	4.0	3.0	2.0
167.3549418	2	incon	3.0	1.0	1.0	1.0
182.7710038	2	incon	3.0	1.0	1.0	3.0
201.2696115	2	incon	4.0	1.0	1.0	3.0
215.9866966	2	incon	4.0	2.0	1.0	1.0
232.603214	2	con	4.0	4.0	2.0	1.0
251.5335705	2	con	1.0	1.0	2.0	1.0
266.4328168	2	con	2.0	3.0	2.0	1.0
281.4518616	2	incon	2.0	4.0	2.0	1.0
296.7005429	2	con	4.0	2.0	1.0	1.0
316.7371186	2	incon	4.0	1.0	3.0	1.0
336.3566675	2	incon	1.0	2.0	1.0	1.0
351.9437143	2	incon	3.0	1.0	1.0	2.0
