onset	duration	trial_type	relevant_rank	irrelevant_rank	D	I
17.4058841	2	easy	1	2	2	1
34.4227673	2	hard	1	4	1	2
51.012118	2	hard	3	3	1	1
66.211645	2	easy	4	3	2	1
84.6770092	2	easy	2	1	2	2
100.4259267	2	hard	4	1	1	2
122.4435169	2	easy	1	2	3	2
148.4360766	2	easy	4	1	3	2
167.3549418	2	hard	2	4	1	1
182.7710038	2	hard	2	4	1	3
201.2696115	2	hard	1	4	1	3
215.9866966	2	hard	1	3	1	1
232.603214	2	easy	1	1	2	1
251.5335705	2	easy	4	4	2	1
266.4328168	2	easy	3	2	2	1
281.4518616	2	easy	3	1	2	1
296.7005429	2	hard	1	3	1	1
316.7371186	2	easy	1	4	3	1
336.3566675	2	hard	4	3	1	1
351.9437143	2	hard	2	4	1	2
