onset	duration	trial_type	relevant_rank	irrelevant_rank
10.5679804	2	choose	2	3
69.6275883	2	choose	4	1
99.307618	2	choose	4	2
201.6415843	2	choose	1	2
240.1478143	2	choose	2	3
256.1291936	2	choose	3	2
272.3464084	2	choose	1	1
290.0308121	2	choose	2	1
360.9669989	2	choose	2	1
37.7284209	2	choose	1	1
60.8180387	2	choose	2	3
90.6145664	2	choose	2	2
121.8577749	2	choose	3	1
146.0559	2	choose	1	3
171.0378071	2	choose	3	4
192.4363307	2	choose	4	2
230.6706325	2	choose	2	2
313.4031088	2	choose	3	2
332.7557836	2	choose	4	2
351.9099996	2	choose	2	2
