onset,duration,trial_type,relevant_rank,irrelevant_rank,D,I,E,A,sin6A,cos6A
8.0315814,1,2,,,,,,,,
24.6476276,1,1,,,,,,,,
41.44688,1,2,,,,,,,,
57.3455585,1,2,,,,,,,,
74.1792137,1,1,,,,,,,,
91.27916,1,1,,,,,,,,
110.1648869,1,2,,,,,,,,
134.172359,1,2,,,,,,,,
156.6283151,1,2,,,,,,,,
173.7954009,1,1,,,,,,,,
190.7541711,1,2,,,,,,,,
207.3620665,1,1,,,,,,,,
223.0275985,1,2,,,,,,,,
240.8012347,1,2,,,,,,,,
257.7169696,1,1,,,,,,,,
272.682303,1,1,,,,,,,,
287.8087483,1,1,,,,,,,,
305.4467532,1,2,,,,,,,,
325.2798438,1,2,,,,,,,,
342.8803595,1,1,,,,,,,,
10.5660115,2,22,2,4,,,,,,
27.1820487,2,11,3,3,,,,,,
43.9822973,2,22,3,1,,,,,,
59.8812582,2,22,3,1,,,,,,
76.7149474,2,11,1,2,,,,,,
93.8150628,2,11,2,2,,,,,,
112.7004959,2,22,1,1,,,,,,
136.7079451,2,22,4,2,,,,,,
159.1641641,2,22,2,2,,,,,,
176.3305212,2,11,2,4,,,,,,
193.2872796,2,22,3,4,,,,,,
209.8974258,2,11,3,3,,,,,,
225.563014,2,22,2,3,,,,,,
243.3341665,2,22,3,2,,,,,,
260.2494997,2,11,4,4,,,,,,
275.2152544,2,11,4,3,,,,,,
290.3442376,2,11,3,1,,,,,,
307.9798956,2,22,1,2,,,,,,
327.8159885,2,22,2,1,,,,,,
345.415877,2,11,2,3,,,,,,
17.4058841,2,222,4,3,2,1,2.236067977,-63.43494882,-0.352,0.936
34.4227673,2,111,4,1,1,2,2.236067977,-63.43494882,-0.352,0.936
51.012118,2,222,2,2,1,1,1.414213562,-45,1,0
66.211645,2,222,1,2,2,1,2.236067977,-63.43494882,-0.352,0.936
84.6770092,2,111,3,4,2,2,2.828427125,45,-1,0
100.4259267,2,111,1,4,1,2,2.236067977,-63.43494882,-0.352,0.936
122.4435169,2,222,4,3,3,2,3.605551275,56.30993247,-0.37687756,0.926263086
148.4360766,2,222,1,4,3,2,3.605551275,-56.30993247,0.37687756,0.926263086
167.3549418,2,222,3,1,1,1,1.414213562,-45,1,0
182.7710038,2,111,3,1,1,3,3.16227766,-71.56505118,-0.936,0.352
201.2696115,2,222,4,1,1,3,3.16227766,-18.43494882,-0.936,-0.352
215.9866966,2,111,4,2,1,1,1.414213562,-45,1,0
232.603214,2,222,4,4,2,1,2.236067977,63.43494882,0.352,0.936
251.5335705,2,222,1,1,2,1,2.236067977,63.43494882,0.352,0.936
266.4328168,2,111,2,3,2,1,2.236067977,26.56505118,0.352,-0.936
281.4518616,2,111,2,4,2,1,2.236067977,-26.56505118,-0.352,-0.936
296.7005429,2,111,4,2,1,1,1.414213562,45,-1,0
316.7371186,2,222,4,1,3,1,3.16227766,-71.56505118,-0.936,0.352
336.3566675,2,222,1,2,1,1,1.414213562,-45,1,0
351.9437143,2,111,3,1,1,2,2.236067977,-63.43494882,-0.352,0.936
