onset	duration	trial_type	relevant_rank	irrelevant_rank
29.9249431	2	unchoose	3	2
50.6580275	2	unchoose	1	4
86.3113543	2	unchoose	4	1
102.5273294	2	unchoose	1	2
178.3854615	2	unchoose	2	4
260.1606657	2	unchoose	2	3
279.6870786	2	unchoose	1	1
332.8067376	2	unchoose	4	1
364.5383745	2	unchoose	2	1
18.7595894	2	unchoose	4	2
76.4843429	2	unchoose	4	1
128.8192418	2	unchoose	3	2
150.3742308	2	unchoose	3	4
168.3334156	2	unchoose	1	3
201.4641798	2	unchoose	1	1
224.1975331	2	unchoose	4	2
250.6614012	2	unchoose	3	2
305.7621616	2	unchoose	3	4
323.0129688	2	unchoose	1	2
355.5117407	2	unchoose	4	4
