onset	duration	trial_type	relevant_red	relevant_blue	all_rank
10.5718891	2	F1	2	4	6
27.2002466	2	F1	1	2	3
44.3828387	2	F1	3	1	4
60.2975026	2	F1	4	2	6
78.1812083	2	F1	3	2	5
96.7506393	2	F1	4	4	8
115.4691235	2	F1	2	3	5
133.5434626	2	F1	2	1	3
150.5424698	2	F1	1	2	3
169.7578888	2	F1	2	2	4
190.2761641	2	F1	2	2	4
208.8781751	2	F1	1	3	4
224.4769175	2	F1	3	2	5
239.8429996	2	F1	4	2	6
255.4744263	2	F1	4	4	8
270.7067009	2	F1	4	4	8
285.5545041	2	F1	1	2	3
304.4577164	2	F1	1	2	3
324.6146381	2	F1	3	3	6
340.9098954	2	F1	3	3	6
