onset	duration	trial_type	diag_F1
10.5718891	2	F1	4.242640687
27.2002466	2	F1	2.121320344
44.3828387	2	F1	2.828427125
60.2975026	2	F1	4.242640687
78.1812083	2	F1	3.535533906
96.7506393	2	F1	5.656854249
115.4691235	2	F1	3.535533906
133.5434626	2	F1	2.121320344
150.5424698	2	F1	2.121320344
169.7578888	2	F1	2.828427125
190.2761641	2	F1	2.828427125
208.8781751	2	F1	2.828427125
224.4769175	2	F1	3.535533906
239.8429996	2	F1	4.242640687
255.4744263	2	F1	5.656854249
270.7067009	2	F1	5.656854249
285.5545041	2	F1	2.121320344
304.4577164	2	F1	2.121320344
324.6146381	2	F1	4.242640687
340.9098954	2	F1	4.242640687
