onset	duration	trial_type	relevant_rank	irrelevant_rank
10.562961	2	F1	2.0	1.0
28.7482297	2	F1	3.0	3.0
49.4351983	2	F1	3.0	4.0
68.5206903	2	F1	1.0	3.0
84.6881062	2	F1	4.0	4.0
100.5190894	2	F1	4.0	4.0
117.6862631	2	F1	1.0	1.0
137.1737111	2	F1	2.0	3.0
156.6775331	2	F1	1.0	3.0
175.6274014	2	F1	4.0	2.0
192.6108736	2	F1	1.0	2.0
207.910019	2	F1	1.0	2.0
225.5603876	2	F1	1.0	1.0
243.6619039	2	F1	3.0	3.0
259.7946429	2	F1	4.0	4.0
275.2599369	2	F1	3.0	3.0
290.4095177	2	F1	2.0	2.0
306.2586785	2	F1	4.0	3.0
327.2618978	2	F1	3.0	2.0
350.2681255	2	F1	3.0	4.0
