onset	duration	trial_type	relevant_rank	irrelevant_rank	A
16.8700204	2	F2	4.0	4.0	71.5650511770780
34.9883678	2	F2	3.0	2.0	45
51.2376314	2	F2	1.0	1.0	71.5650511770780
66.820201	2	F2	2.0	4.0	45
87.0078551	2	F2	1.0	1.0	63.4349488229220
103.9619138	2	F2	2.0	4.0	71.5650511770780
124.4440525	2	F2	2.0	1.0	45
140.1099839	2	F2	2.0	3.0	45
158.4444796	2	F2	1.0	2.0	18.4349488229220
178.5402408	2	F2	2.0	1.0	63.4349488229220
199.4891089	2	F2	4.0	4.0	45
215.7381204	2	F2	3.0	1.0	45
230.687005	2	F2	4.0	4.0	26.5650511770780
246.4655216	2	F2	3.0	4.0	26.5650511770780
261.9518523	2	F2	2.0	2.0	45
276.9342326	2	F2	4.0	4.0	45
291.6438609	2	F2	2.0	2.0	26.5650511770780
314.7334786	2	F2	1.0	1.0	33.6900675259798
331.9508099	2	F2	1.0	1.0	45
347.3326197	2	F2	4.0	4.0	45
