onset	duration	trial_type	relevant_red	relevant_blue	all_rank	all_rank_diff
16.8700204	2	F2	1	1	2	4
34.9883678	2	F2	2	3	5	2
51.2376314	2	F2	4	4	8	4
66.820201	2	F2	3	1	4	2
87.0078551	2	F2	4	4	8	3
103.9619138	2	F2	3	1	4	4
124.4440525	2	F2	3	4	7	2
140.1099839	2	F2	3	2	5	2
158.4444796	2	F2	4	3	7	4
178.5402408	2	F2	3	4	7	3
199.4891089	2	F2	1	1	2	2
215.7381204	2	F2	2	4	6	2
230.687005	2	F2	1	1	2	3
246.4655216	2	F2	2	1	3	3
261.9518523	2	F2	3	3	6	2
276.9342326	2	F2	1	1	2	6
291.6438609	2	F2	3	3	6	3
314.7334786	2	F2	4	4	8	5
331.9508099	2	F2	4	4	8	2
347.3326197	2	F2	1	1	2	4
