onset	duration	trial_type	relevant_red	relevant_blue	all_rank
10.562961	2	choose	3	4	7
68.5206903	2	choose	4	2	6
117.6862631	2	choose	4	4	8
137.1737111	2	choose	3	2	5
156.6775331	2	choose	4	2	6
192.6108736	2	choose	4	3	7
207.910019	2	choose	4	3	7
225.5603876	2	choose	4	4	8
275.2599369	2	choose	2	2	4
290.4095177	2	choose	3	3	6
327.2618978	2	choose	2	3	5
37.1894602	2	choose	3	4	7
59.1445853	2	choose	3	4	7
91.4816485	2	choose	2	4	6
107.0140114	2	choose	3	3	6
183.8856686	2	choose	4	4	8
250.6887098	2	choose	4	3	7
266.3542934	2	choose	4	3	7
313.3313552	2	choose	4	3	7
359.3486234	2	choose	3	3	6
