onset	duration	trial_type	diag_choose	diag_diff
10.562961	2	choose	4.949747468	2.828427125
68.5206903	2	choose	4.242640687	2.121320344
117.6862631	2	choose	5.656854249	2.828427125
137.1737111	2	choose	3.535533906	2.121320344
156.6775331	2	choose	4.242640687	1.414213562
192.6108736	2	choose	4.949747468	1.414213562
207.910019	2	choose	4.949747468	2.121320344
225.5603876	2	choose	5.656854249	2.121320344
275.2599369	2	choose	2.828427125	1.414213562
290.4095177	2	choose	4.242640687	2.121320344
327.2618978	2	choose	3.535533906	1.414213562
37.1894602	2	choose	4.949747468	2.121320344
59.1445853	2	choose	4.949747468	2.828427125
91.4816485	2	choose	4.242640687	2.828427125
107.0140114	2	choose	4.242640687	2.828427125
183.8856686	2	choose	5.656854249	2.828427125
250.6887098	2	choose	4.949747468	2.121320344
266.3542934	2	choose	4.949747468	3.535533906
313.3313552	2	choose	4.949747468	2.828427125
359.3486234	2	choose	4.242640687	2.121320344
