onset	duration	trial_type	relevant_red	relevant_blue	all_rank
10.5678992	2	unchoose	1	3	4
40.9647223	2	unchoose	1	2	3
75.8162901	2	unchoose	2	3	5
97.4710632	2	unchoose	2	2	4
116.0061757	2	unchoose	1	3	4
159.5161498	2	unchoose	3	2	5
210.8671852	2	unchoose	2	2	4
279.9193382	2	unchoose	1	2	3
317.9603519	2	unchoose	2	2	4
32.2939214	2	unchoose	1	1	2
61.8524331	2	unchoose	1	1	2
146.9367814	2	unchoose	1	1	2
185.0182554	2	unchoose	2	1	3
202.1920279	2	unchoose	2	1	3
231.6545427	2	unchoose	1	1	2
249.8141296	2	unchoose	1	1	2
268.3799773	2	unchoose	2	1	3
306.7442335	2	unchoose	2	1	3
344.350455	2	unchoose	2	1	3
362.3015681	2	unchoose	3	1	4
