onset	duration	trial_type	relevant_rank	irrelevant_rank	D
17.9782415	2	F2	1.0	2.0	1.0
37.9654011	2	F2	4.0	3.0	1.0
53.8141485	2	F2	4.0	2.0	3.0
75.6709379	2	F2	1.0	3.0	2.0
90.6029809	2	F2	3.0	4.0	1.0
111.2211235	2	F2	2.0	2.0	1.0
135.7504016	2	F2	3.0	1.0	2.0
160.7825914	2	F2	2.0	3.0	2.0
176.4360918	2	F2	4.0	1.0	2.0
191.8516318	2	F2	3.0	2.0	2.0
207.667207	2	F2	3.0	3.0	2.0
223.3828667	2	F2	4.0	4.0	3.0
238.1309848	2	F2	1.0	3.0	2.0
255.7819246	2	F2	4.0	3.0	1.0
271.3306365	2	F2	1.0	1.0	3.0
289.3821962	2	F2	2.0	1.0	1.0
304.2067039	2	F2	3.0	3.0	1.0
318.8781697	2	F2	3.0	3.0	1.0
335.7282152	2	F2	3.0	1.0	1.0
354.5804022	2	F2	4.0	3.0	3.0
