onset	duration	trial_type	relevant_rank	irrelevant_rank	I
18.7595894	2	F2	1.0	3.0	1.0
38.5574555	2	F2	4.0	2.0	1.0
60.2344721	2	F2	2.0	2.0	1.0
76.4843429	2	F2	1.0	4.0	1.0
93.5874019	2	F2	4.0	1.0	3.0
108.9364944	2	F2	1.0	4.0	1.0
128.8192418	2	F2	2.0	3.0	2.0
150.3742308	2	F2	2.0	1.0	1.0
168.3334156	2	F2	4.0	2.0	1.0
185.9101765	2	F2	1.0	2.0	1.0
201.4641798	2	F2	4.0	4.0	1.0
224.1975331	2	F2	1.0	3.0	2.0
250.6614012	2	F2	2.0	3.0	1.0
267.1268791	2	F2	2.0	1.0	1.0
289.7088418	2	F2	3.0	2.0	2.0
305.7621616	2	F2	2.0	1.0	2.0
323.0129688	2	F2	4.0	3.0	1.0
340.0629933	2	F2	3.0	1.0	3.0
355.5117407	2	F2	1.0	1.0	2.0
371.0371809	2	F2	4.0	2.0	2.0
