onset	duration	trial_type	relevant_rank	irrelevant_rank	E
17.9806136	2	F2	1.0	1.0	2.236067977
37.7284209	2	F2	4.0	4.0	3.16227766
60.8180387	2	F2	3.0	2.0	2.828427125
75.8996417	2	F2	4.0	2.0	3.605551275
90.6145664	2	F2	3.0	3.0	2.236067977
105.4634361	2	F2	4.0	1.0	3.605551275
121.8577749	2	F2	2.0	4.0	3.16227766
146.0559	2	F2	4.0	2.0	2.828427125
171.0378071	2	F2	2.0	1.0	2.828427125
192.4363307	2	F2	1.0	3.0	2.828427125
208.3187873	2	F2	3.0	2.0	1.414213562
230.6706325	2	F2	3.0	3.0	2.236067977
247.0870186	2	F2	2.0	3.0	1.414213562
262.6356465	2	F2	4.0	1.0	2.828427125
279.5191445	2	F2	1.0	2.0	3.605551275
298.0134295	2	F2	2.0	2.0	2.236067977
313.4031088	2	F2	2.0	3.0	2.236067977
332.7557836	2	F2	1.0	3.0	1.414213562
351.9099996	2	F2	3.0	3.0	2.236067977
367.4756903	2	F2	2.0	2.0	2.236067977
