onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.9806136	2	F2	1.0	1.0	26.5651
37.7284209	2	F2	4.0	4.0	251.5651
60.8180387	2	F2	3.0	2.0	135
75.8996417	2	F2	4.0	2.0	303.6901
90.6145664	2	F2	3.0	3.0	206.5651
105.4634361	2	F2	4.0	1.0	146.3099
121.8577749	2	F2	2.0	4.0	251.5651
146.0559	2	F2	4.0	2.0	135
171.0378071	2	F2	2.0	1.0	45
192.4363307	2	F2	1.0	3.0	315
208.3187873	2	F2	3.0	2.0	45
230.6706325	2	F2	3.0	3.0	243.4349
247.0870186	2	F2	2.0	3.0	315
262.6356465	2	F2	4.0	1.0	135
279.5191445	2	F2	1.0	2.0	56.3099
298.0134295	2	F2	2.0	2.0	26.5651
313.4031088	2	F2	2.0	3.0	333.4349
332.7557836	2	F2	1.0	3.0	135
351.9099996	2	F2	3.0	3.0	153.4349
367.4756903	2	F2	2.0	2.0	63.4349
