onset	duration	trial_type	relevant_rank	irrelevant_rank	Manhattan
17.9782415	2	F2	1.0	2.0	3
37.9654011	2	F2	4.0	3.0	2
53.8141485	2	F2	4.0	2.0	5
75.6709379	2	F2	1.0	3.0	3
90.6029809	2	F2	3.0	4.0	4
111.2211235	2	F2	2.0	2.0	3
135.7504016	2	F2	3.0	1.0	5
160.7825914	2	F2	2.0	3.0	3
176.4360918	2	F2	4.0	1.0	4
191.8516318	2	F2	3.0	2.0	3
207.667207	2	F2	3.0	3.0	3
223.3828667	2	F2	4.0	4.0	5
238.1309848	2	F2	1.0	3.0	3
255.7819246	2	F2	4.0	3.0	3
271.3306365	2	F2	1.0	1.0	6
289.3821962	2	F2	2.0	1.0	4
304.2067039	2	F2	3.0	3.0	2
318.8781697	2	F2	3.0	3.0	2
335.7282152	2	F2	3.0	1.0	2
354.5804022	2	F2	4.0	3.0	5
