onset	duration	trial_type	relevant_rank	irrelevant_rank	diag_diff
17.4058841	2	F2	4.0	3.0	0.707106781
34.4227673	2	F2	4.0	1.0	0.707106781
51.012118	2	F2	2.0	2.0	0
66.211645	2	F2	1.0	2.0	0.707106781
84.6770092	2	F2	3.0	4.0	2.828427125
100.4259267	2	F2	1.0	4.0	0.707106781
122.4435169	2	F2	4.0	3.0	3.535533906
148.4360766	2	F2	1.0	4.0	0.707106781
167.3549418	2	F2	3.0	1.0	0
182.7710038	2	F2	3.0	1.0	1.414213562
201.2696115	2	F2	4.0	1.0	1.414213562
215.9866966	2	F2	4.0	2.0	0
232.603214	2	F2	4.0	4.0	2.121320344
251.5335705	2	F2	1.0	1.0	2.121320344
266.4328168	2	F2	2.0	3.0	2.121320344
281.4518616	2	F2	2.0	4.0	0.707106781
296.7005429	2	F2	4.0	2.0	1.414213562
316.7371186	2	F2	4.0	1.0	1.414213562
336.3566675	2	F2	1.0	2.0	0
351.9437143	2	F2	3.0	1.0	0.707106781
