onset,duration,trial_type,relevant_rank,irrelevant_rank,D,I,E,A,sin6A,cos6A,diag_diff
8.0325492,1,2,,,,,,,,,
27.3922452,1,2,,,,,,,,,
48.123766,1,2,,,,,,,,,
67.0911507,1,1,,,,,,,,,
83.7723998,1,2,,,,,,,,,
99.9906405,1,2,,,,,,,,,
117.6085327,1,1,,,,,,,,,
138.3303738,1,2,,,,,,,,,
158.0837433,1,1,,,,,,,,,
175.8497239,1,1,,,,,,,,,
192.4161099,1,1,,,,,,,,,
211.5686493,1,1,,,,,,,,,
236.1621855,1,2,,,,,,,,,
257.6282049,1,2,,,,,,,,,
277.1506076,1,1,,,,,,,,,
296.4701926,1,1,,,,,,,,,
313.1248221,1,2,,,,,,,,,
330.2731431,1,2,,,,,,,,,
346.5224714,1,1,,,,,,,,,
362.0045469,1,1,,,,,,,,,
10.568321,2,22,2,4,,,,,,,
29.9249431,2,22,2,3,,,,,,,
50.6580275,2,22,4,1,,,,,,,
69.6271514,2,11,3,3,,,,,,,
86.3113543,2,22,1,4,,,,,,,
102.5273294,2,22,4,3,,,,,,,
120.1440834,2,11,1,1,,,,,,,
140.8650093,2,22,4,2,,,,,,,
160.6177826,2,11,1,1,,,,,,,
178.3854615,2,11,3,1,,,,,,,
194.9518875,2,11,1,3,,,,,,,
214.1042261,2,11,2,1,,,,,,,
238.6958077,2,22,1,2,,,,,,,
260.1606657,2,22,3,2,,,,,,,
279.6870786,2,11,4,4,,,,,,,
299.0055929,2,11,4,3,,,,,,,
315.6572518,2,22,3,4,,,,,,,
332.8067376,2,22,1,4,,,,,,,
349.0557795,2,11,3,3,,,,,,,
364.5383745,2,11,3,4,,,,,,,
18.7595894,2,222,1,3,1,1,1.414213562,45,-1,0,1.414213562
38.5574555,2,222,4,2,2,1,2.236067977,-63.43494882,-0.352,0.936,0.707106781
60.2344721,2,222,2,2,2,1,2.236067977,-63.43494882,-0.352,0.936,0.707106781
76.4843429,2,111,1,4,2,1,2.236067977,-26.56505118,-0.352,-0.936,0.707106781
93.5874019,2,222,4,1,3,3,4.242640687,-45,1,0,0
108.9364944,2,222,1,4,3,1,3.16227766,-71.56505118,-0.936,0.352,1.414213562
128.8192418,2,111,2,3,1,2,2.236067977,63.43494882,0.352,0.936,2.121320344
150.3742308,2,222,2,1,2,1,2.236067977,63.43494882,0.352,0.936,2.121320344
168.3334156,2,111,4,2,3,1,3.16227766,18.43494882,0.936,-0.352,2.828427125
185.9101765,2,111,1,2,2,1,2.236067977,-26.56505118,-0.352,-0.936,0.707106781
201.4641798,2,111,4,4,3,1,3.16227766,18.43494882,0.936,-0.352,2.828427125
224.1975331,2,111,1,3,1,2,2.236067977,-63.43494882,-0.352,0.936,0.707106781
250.6614012,2,222,2,3,1,1,1.414213562,45,-1,0,1.414213562
267.1268791,2,222,2,1,1,1,1.414213562,45,-1,0,1.414213562
289.7088418,2,111,3,2,1,2,2.236067977,63.43494882,0.352,0.936,2.121320344
305.7621616,2,111,2,1,2,2,2.828427125,45,-1,0,2.828427125
323.0129688,2,222,4,3,1,1,1.414213562,-45,1,0,0
340.0629933,2,222,3,1,2,3,3.605551275,-33.69006753,0.37687756,-0.926263086,0.707106781
355.5117407,2,111,1,1,2,2,2.828427125,45,-1,0,2.828427125
371.0371809,2,111,4,2,1,2,2.236067977,-63.43494882,-0.352,0.936,0.707106781
