onset	duration	trial_type	relevant_rank	irrelevant_rank	D1
16.8700204	2	F2	4.0	4.0	1.0
34.9883678	2	F2	3.0	2.0	1.0
51.2376314	2	F2	1.0	1.0	1.0
66.820201	2	F2	2.0	4.0	1.0
87.0078551	2	F2	1.0	1.0	1.0
103.9619138	2	F2	2.0	4.0	1.0
124.4440525	2	F2	2.0	1.0	1.0
140.1099839	2	F2	2.0	3.0	1.0
158.4444796	2	F2	1.0	2.0	3.0
178.5402408	2	F2	2.0	1.0	1.0
199.4891089	2	F2	4.0	4.0	1.0
215.7381204	2	F2	3.0	1.0	1.0
230.687005	2	F2	4.0	4.0	2.0
246.4655216	2	F2	3.0	4.0	2.0
261.9518523	2	F2	2.0	2.0	1.0
276.9342326	2	F2	4.0	4.0	3.0
291.6438609	2	F2	2.0	2.0	2.0
314.7334786	2	F2	1.0	1.0	3.0
331.9508099	2	F2	1.0	1.0	1.0
347.3326197	2	F2	4.0	4.0	2.0
