onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.5087722	2	F2	1.0	1.0	-1.89254688119154
32.2939214	2	F2	4.0	4.0	0.588002603547568
47.1097492	2	F2	2.0	1.0	-2.35619449019235
61.8524331	2	F2	4.0	4.0	0.982793723247329
87.2443584	2	F2	1.0	1.0	-2.03444393579570
105.1620868	2	F2	2.0	2.0	-2.35619449019235
124.3144774	2	F2	2.0	1.0	-2.03444393579570
146.9367814	2	F2	4.0	4.0	0.785398163397448
169.5596704	2	F2	1.0	2.0	-2.35619449019235
185.0182554	2	F2	3.0	4.0	0.785398163397448
202.1920279	2	F2	3.0	4.0	0.588002603547568
217.0160449	2	F2	1.0	1.0	-2.35619449019235
231.6545427	2	F2	4.0	4.0	0.463647609000806
249.8141296	2	F2	4.0	4.0	1.24904577239825
268.3799773	2	F2	3.0	4.0	0.785398163397448
288.9115493	2	F2	3.0	1.0	-2.67794504458899
306.7442335	2	F2	3.0	4.0	0.321750554396642
326.6328	2	F2	1.0	2.0	-2.03444393579570
344.350455	2	F2	3.0	4.0	0.463647609000806
362.3015681	2	F2	2.0	4.0	0.463647609000806
