,run,id,block,ACC
1,1,1,1,0.1875
2,1,1,2,0.28125
3,1,1,3,0.3125
4,1,1,4,0.25
5,1,1,5,0.25
6,1,1,6,0.375
7,1,1,7,0.4375
8,1,1,8,0.40625
9,1,1,9,0.40625
10,1,1,10,0.34375
11,1,1,11,0.375
12,1,1,12,0.5
13,1,1,13,0.53125
14,1,1,14,0.53125
15,1,1,15,0.46875
16,1,1,16,0.5625
17,1,1,17,0.4375
18,1,1,18,0.375
19,1,1,19,0.4375
20,1,1,20,0.5
21,1,1,21,0.625
22,1,1,22,0.5
23,1,1,23,0.5
24,1,1,24,0.53125
25,1,1,25,0.5625
26,1,1,26,0.625
27,1,1,27,0.6875
28,1,1,28,0.71875
29,1,1,29,0.75
30,1,1,30,0.78125
31,1,1,31,0.78125
32,1,1,32,0.78125
33,1,1,33,0.71875
34,1,1,34,0.8125
35,1,1,35,0.8125
36,1,1,36,0.71875
37,1,1,37,0.875
52,1,2,1,0.28125
53,1,2,2,0.34375
54,1,2,3,0.3125
55,1,2,4,0.40625
56,1,2,5,0.375
57,1,2,6,0.46875
58,1,2,7,0.5625
59,1,2,8,0.625
60,1,2,9,0.71875
61,1,2,10,0.75
62,1,2,11,0.9375
63,1,3,1,0.34375
64,1,3,2,0.28125
65,1,3,3,0.34375
66,1,3,4,0.375
67,1,3,5,0.3125
68,1,3,6,0.25
69,1,3,7,0.34375
70,1,3,8,0.4375
71,1,3,9,0.4375
72,1,3,10,0.5625
73,1,3,11,0.46875
74,1,3,12,0.46875
75,1,3,13,0.65625
76,1,3,14,0.65625
77,1,3,15,0.6875
78,1,3,16,0.78125
79,1,3,17,0.78125
80,1,3,18,0.6875
81,1,3,19,0.75
82,1,3,20,0.84375
83,1,3,21,0.8125
84,1,3,22,0.84375
85,1,3,23,0.84375
86,1,3,24,0.84375
87,1,3,25,0.8125
88,1,3,26,0.875
89,1,3,27,0.84375
90,1,3,28,0.875
91,1,3,29,0.90625
92,1,3,30,0.90625
93,1,3,31,0.90625
94,1,3,32,0.875
95,1,3,33,0.9375
96,1,3,34,0.96875
97,1,3,35,0.96875
98,1,3,36,1
99,1,3,37,1
101,1,4,1,0.28125
