,run,id,block,RTmean
1,1,1,1,1.542776359
2,1,1,2,1.825669678
3,1,1,3,2.028318263
4,1,1,4,1.830520837
5,1,1,5,1.871700341
6,1,1,6,2.730841022
7,1,1,7,2.802260431
8,1,1,8,2.266736428
9,1,1,9,2.529200003
10,1,1,10,2.880013194
11,1,1,11,2.455586816
12,1,1,12,2.469807216
13,1,1,13,2.268736928
14,1,1,14,2.158974603
15,1,1,15,2.322199369
16,1,1,16,2.841018991
17,1,1,17,1.830065626
18,1,1,18,2.033146168
19,1,1,19,4.586222252
20,1,1,20,3.837818076
21,1,1,21,2.876993148
22,1,1,22,2.784355772
23,1,1,23,3.404989261
24,1,1,24,4.705320752
25,1,1,25,3.689642235
26,1,1,26,3.638555378
27,1,1,27,4.167345073
28,1,1,28,4.267115709
29,1,1,29,3.300299871
30,1,1,30,3.40821322
31,1,1,31,3.872176963
32,1,1,32,4.006301547
33,1,1,33,3.655280384
34,1,1,34,2.320993361
35,1,1,35,3.081307547
36,1,1,36,2.84255572
37,1,1,37,4.759607071
52,1,2,1,2.07435171
53,1,2,2,5.940933979
54,1,2,3,6.137089668
56,1,2,5,6.286076304
59,1,2,8,6.408311036
62,1,2,11,6.94857451
63,1,3,1,1.924587156
64,1,3,2,1.656287813
65,1,3,3,2.134815656
66,1,3,4,1.733145938
67,1,3,5,1.517502719
68,1,3,6,1.328445563
69,1,3,7,1.549778125
70,1,3,8,1.358339667
71,1,3,9,1.5875775
72,1,3,10,1.482890931
73,1,3,11,1.380411357
74,1,3,12,1.66737344
75,1,3,13,1.862057095
76,1,3,14,1.596627789
77,1,3,15,1.959844529
78,1,3,16,2.542732875
79,1,3,17,2.130941438
80,1,3,18,2.75338525
81,1,3,19,1.859708769
82,1,3,20,1.5605701
83,1,3,21,1.9174055
84,1,3,22,1.702361667
85,1,3,23,1.658015625
86,1,3,24,1.0402435
87,1,3,25,1.414857571
88,1,3,26,2.049410167
89,1,3,27,2.0577806
90,1,3,28,1.4658446
91,1,3,29,1.8967404
92,1,3,30,2.0812158
93,1,3,31,1.3068756
94,1,3,32,1.368397
95,1,3,33,1.2338636
96,1,3,34,1.227252333
97,1,3,35,1.0122265
98,1,3,36,1.010522
99,1,3,37,0.598997
101,1,4,1,2.787723513
102,1,4,2,4.255209539
103,1,4,3,2.090619396
104,1,4,4,3.476231739
105,1,4,5,3.633428141
106,1,4,6,3.579543905
107,1,4,7,3.286870432
108,1,4,8,2.207098126
109,1,4,9,2.480712279
110,1,4,10,2.637968843
111,1,4,11,3.33709284
112,1,4,12,2.501685718
113,1,4,13,2.821679908
114,1,4,14,2.847711672
115,1,4,15,2.910142871
116,1,4,16,2.390186303
117,1,4,17,2.487643127
118,1,4,18,2.263203483
119,1,4,19,3.398665313
120,1,4,20,2.300960675
121,1,4,21,2.145002582
122,1,4,22,1.788887023
123,1,4,23,3.373202371
124,1,4,24,2.499341488
125,1,4,25,2.28074747
126,1,4,26,2.072306439
127,1,4,27,1.570850511
128,1,4,28,2.151379578
129,1,4,29,2.231438152
130,1,4,30,1.878281655
131,1,4,31,1.350447672
132,1,4,32,1.052602171
133,1,4,33,0.994334321
134,1,4,34,0.705406202
135,1,4,35,0.660153133
136,1,4,36,0.643230505
137,1,4,37,0.599742776
139,1,6,1,5.870380204
141,1,6,3,9.985533946
142,1,6,4,3.366906939
143,1,6,5,7.442205138
144,1,6,6,5.3456175
145,1,6,7,6.673336565
146,1,6,8,3.766927048
147,1,6,9,3.640664722
148,1,6,10,3.76313986
149,1,6,11,3.974724751
150,1,6,12,3.092246452
151,1,6,13,4.029066783
152,1,6,14,4.435828503
153,1,6,15,3.61163609
154,1,6,16,2.807101954
155,1,6,17,4.574501714
156,1,6,18,3.59447631
157,1,6,19,6.061981899
158,1,6,20,6.50430214
159,1,6,21,4.021878816
160,1,6,22,5.40641617
161,1,6,23,4.431880381
162,1,6,24,4.405787447
163,1,6,25,3.781885094
164,1,6,26,4.052428956
165,1,6,27,4.090808448
166,1,6,28,2.178713486
167,1,6,29,2.359845222
168,1,6,30,2.418167029
169,1,6,31,1.654712873
170,1,6,32,2.322874868
171,1,6,33,1.278229506
172,1,6,34,1.079699263
173,1,6,35,1.281080019
174,1,6,36,1.769205399
175,1,6,37,3.569826087
176,1,7,1,1.458870656
177,1,7,2,3.020960225
178,1,7,3,2.377425859
179,1,7,4,3.46849275
180,1,7,5,2.723590166
181,1,7,6,2.492328947
182,1,7,7,2.768253925
183,1,7,8,2.477690159
184,1,7,9,2.087043641
185,1,7,10,3.185510752
186,1,7,11,3.392420483
187,1,7,12,2.3557565
188,1,7,13,3.092595941
189,1,7,14,1.965185919
190,1,7,15,2.84155185
191,1,7,16,3.377885543
192,1,7,17,3.15146349
193,1,7,18,2.739727347
194,1,7,19,2.529374794
195,1,7,20,6.3296151
196,1,7,21,3.6491445
197,1,7,22,2.717696073
198,1,7,23,1.941590163
199,1,7,24,2.178252643
200,1,7,25,1.610060533
201,1,7,26,1.02778072
202,1,7,27,1.093737875
203,1,7,28,1.48189605
204,1,7,29,0.804273667
205,1,7,30,1.0566201
206,1,9,1,1.354703231
207,1,9,2,1.23544205
208,1,9,3,1.228236394
209,1,9,4,1.188649278
210,1,9,5,1.048612134
211,1,9,6,1.044268819
212,1,9,7,1.402127966
213,1,9,8,1.837428266
214,1,9,9,1.928041656
215,1,9,10,1.6989218
216,1,9,11,2.089508072
217,1,9,12,2.169059932
218,1,9,13,2.432317172
219,1,9,14,2.429985466
220,1,9,15,2.538626415
221,1,9,16,5.010899368
222,1,9,17,6.067771348
223,1,9,18,8.316721796
224,1,9,19,6.6561363
225,1,9,20,4.983014571
226,1,9,21,5.750875575
227,1,9,22,3.384575961
228,1,9,23,3.821007918
229,1,9,24,4.368419433
230,1,9,25,3.158299992
231,1,9,26,3.743678036
232,1,9,27,3.18068227
233,1,9,28,2.915560389
234,1,9,29,3.012641317
235,1,9,30,2.481910883
236,1,9,31,3.25384774
237,1,9,32,4.2328547
238,1,9,33,2.436951
239,1,9,34,2.399090667
240,1,9,35,4.3206108
241,1,10,1,1.162042789
242,1,10,2,1.343676135
243,1,10,3,1.374713295
244,1,10,4,1.44396576
245,1,10,5,1.664026074
246,1,10,6,1.741767955
247,1,10,7,1.410229091
248,1,10,8,1.347303417
249,1,10,9,1.358033405
250,1,10,10,1.468317908
251,1,10,11,1.405860708
252,1,10,12,2.610784726
253,1,10,13,1.868422911
254,1,10,14,2.933036409
257,1,10,17,3.357291672
258,1,10,18,2.280430831
259,1,10,19,2.22206487
260,1,10,20,2.006042329
261,1,10,21,1.837787091
262,1,10,22,0.95033887
263,1,10,23,0.895351663
264,1,10,24,0.81329171
265,1,10,25,0.794061991
268,1,11,3,7.825642364
269,1,11,4,7.179684939
272,1,11,7,5.759320233
273,1,11,8,4.045992221
275,1,11,10,6.729103009
276,1,15,1,3.49408503
277,1,15,2,3.458773504
278,1,15,3,3.062102973
279,1,15,4,2.241368952
280,1,15,5,2.466161805
281,1,15,6,2.117924966
282,1,15,7,2.053456737
283,1,15,8,1.731238483
284,1,15,9,2.026234381
285,1,15,10,1.816445689
286,1,15,11,1.366469254
287,1,15,12,1.77440713
288,1,17,1,5.622844115
289,1,17,2,3.992076793
290,1,17,3,4.490318885
291,1,17,4,4.962632987
292,1,17,5,5.254152869
293,1,17,6,3.083500926
294,1,17,7,4.80134587
295,1,17,8,4.324371114
296,1,17,9,3.752000223
297,1,17,10,2.877140885
298,1,17,11,7.459441988
299,1,17,12,4.335656079
301,1,17,14,7.246631954
302,1,17,15,6.849039737
303,1,17,16,5.180959338
304,1,18,1,6.894342208
305,1,18,2,5.274286787
306,1,18,3,4.951516088
307,1,18,4,5.250195762
308,1,18,5,5.742962687
309,1,18,6,3.624740655
310,1,18,7,3.71541798
311,1,18,8,3.036506564
312,1,18,9,3.922382568
313,1,18,10,3.34042474
315,1,19,1,6.345865994
316,1,19,2,2.984150184
317,1,19,3,3.546045759
318,1,19,4,2.835985811
319,1,19,5,2.746425606
320,1,19,6,2.72342858
321,1,19,7,2.505141264
322,1,19,8,2.755698253
323,1,19,9,3.276408057
324,1,19,10,3.248760948
325,1,19,11,3.257105893
326,1,19,12,3.144996475
327,1,19,13,3.297502535
328,1,19,14,3.250912943
329,1,19,15,2.875866667
330,1,19,16,3.251572692
331,1,21,1,5.229685413
332,1,21,2,5.791027076
333,1,21,3,6.450261156
334,1,21,4,6.878679997
335,1,21,5,6.948557772
336,1,21,6,6.190363524
337,1,21,7,4.270974383
338,1,21,8,5.387706546
339,1,21,9,3.33170588
340,1,21,10,4.638154388
341,1,21,11,3.704879754
342,1,21,12,3.24405223
343,1,21,13,4.280227056
344,1,21,14,4.848464661
345,1,21,15,2.422001183
346,1,21,16,2.161341517
347,1,21,17,2.563973641
348,1,21,18,2.747137618
349,1,22,1,1.467375765
350,1,22,2,1.748752881
351,1,22,3,2.229504455
352,1,22,4,1.816978499
353,1,22,5,2.668386775
354,1,22,6,2.312983282
355,1,22,7,2.775742563
356,1,22,8,2.269174803
357,1,22,9,5.167609885
358,1,22,10,2.615569119
359,1,22,11,3.038075583
360,1,22,12,2.37883464
361,1,22,13,2.841614813
362,1,22,14,2.001029693
363,1,22,15,2.37604739
364,1,23,1,6.654102947
365,1,23,2,1.553734455
366,1,23,3,3.308124619
367,1,23,4,3.94038745
368,1,23,5,5.883736295
369,1,23,6,4.684165074
370,1,23,7,6.567031493
371,1,23,8,4.216976669
372,1,23,9,5.403673439
373,1,23,10,8.872472961
374,1,23,11,5.682145303
375,1,23,12,3.866559701
376,1,23,13,4.736538579
