"","X","run","id","face","FaceCue","cue","RTmean","RTvar"
"1",1,1,1,8,"r_8",1,1.64441773666667,1.66941481502967
"2",2,1,1,10,"b_10",2,1.59439073999998,0.572382965632409
"3",3,1,1,15,"b_15",2,1.05977331578946,0.619771899743789
"4",4,1,1,7,"r_7",1,3.57941067027028,9.65164462286616
"5",5,1,1,2,"b_2",2,4.37526859318185,16.5851613157788
"6",6,1,1,1,"r_1",1,1.81930578181823,1.02122247032179
"7",7,1,1,12,"b_12",2,2.60023329411766,6.46784732939131
"8",8,1,1,16,"b_16",2,2.55360898250003,8.14521043714687
"9",9,1,1,3,"b_3",2,3.93939641914888,9.54604522222828
"10",10,1,1,13,"b_13",2,1.57146426999998,0.733676708034024
"11",11,1,1,12,"r_12",1,2.08415232857151,1.84609319017625
"12",12,1,1,6,"r_6",1,2.52141886285711,2.18317648499856
"13",13,1,1,9,"r_9",1,1.78982925000003,0.881145792470373
"14",14,1,1,5,"r_5",1,2.12696325,2.09184858132093
"15",15,1,1,15,"r_15",1,1.27698366818183,0.156716074179801
"16",16,1,1,5,"b_5",2,2.5527625071429,5.83937220358996
"17",17,1,1,11,"b_11",2,4.0219957686274,21.8736099484719
"18",18,1,1,2,"r_2",1,3.14297016666667,6.56759911375532
"19",19,1,1,4,"r_4",1,3.8685842526315,9.62240506298871
"20",20,1,1,6,"b_6",2,2.86590406410259,6.08490651620122
"21",21,1,1,1,"b_1",2,2.98792674313726,8.23680862422189
"22",22,1,1,11,"r_11",1,3.00618586444449,7.05072717034441
"23",23,1,1,14,"b_14",2,2.58396510384607,10.0060832413422
"24",24,1,1,7,"b_7",2,2.97030638913045,5.37503418331895
"25",25,1,1,14,"r_14",1,1.83704151666658,3.09803853084077
"26",26,1,1,9,"b_9",2,3.35728364081636,7.9860891304116
"27",27,1,1,16,"r_16",1,2.98204228275857,6.31045505697012
"28",28,1,1,10,"r_10",1,1.61631550999995,1.98277342248333
"29",29,1,1,13,"r_13",1,1.36417283157893,0.485491675785413
"30",30,1,1,4,"b_4",2,2.99915033030304,5.2097193533531
"31",31,1,1,3,"r_3",1,4.23165344897953,12.6248729145308
"32",32,1,1,8,"b_8",2,3.51833552571423,7.71641535685211
"33",33,1,2,8,"r_8",1,4.59400228487158,7.12030174994523
"35",35,1,2,15,"b_15",2,5.07300859406082,18.8983048214835
"36",36,1,2,7,"r_7",1,3.58933371388015,11.8932847804287
"39",39,1,2,12,"b_12",2,6.63789637859868,102.459314793479
"40",40,1,2,16,"b_16",2,5.06792971752161,30.8232586250719
"41",41,1,2,3,"b_3",2,8.04017058133613,77.1937024112822
"42",42,1,2,13,"b_13",2,6.28031993214972,42.7597800766617
"43",43,1,2,12,"r_12",1,4.25746132940985,10.4400046997056
"45",45,1,2,9,"r_9",1,7.46549489272293,130.856233180316
"46",46,1,2,5,"r_5",1,7.8832088856725,170.332087105404
"47",47,1,2,15,"r_15",1,7.01872442181921,52.2225323552676
"48",48,1,2,5,"b_5",2,5.79765979711665,55.273266552691
"51",51,1,2,4,"r_4",1,7.62389203706989,51.8537832758215
"52",52,1,2,6,"b_6",2,6.87199105313048,17.4367138589783
"55",55,1,2,14,"b_14",2,3.03222439762903,1.82216194718193
"56",56,1,2,7,"b_7",2,7.84363815156976,342.495142353189
"57",57,1,2,14,"r_14",1,7.46381310871802,22.0638213185766
"58",58,1,2,9,"b_9",2,5.20139015464811,19.2606872974962
"59",59,1,2,16,"r_16",1,5.82761543152155,23.4721221524653
"60",60,1,2,10,"r_10",1,9.07950177248567,98.932244377095
"63",63,1,2,3,"r_3",1,9.46810191054828,102.375576316462
"64",64,1,2,8,"b_8",2,4.32865654565394,10.7621581961904
"65",65,1,3,8,"r_8",1,1.52672652941176,0.548540047722014
"66",66,1,3,10,"b_10",2,1.34500092857143,0.349599087453456
"67",67,1,3,15,"b_15",2,1.49976828571429,0.488133257317571
"68",68,1,3,7,"r_7",1,1.91483416666667,0.292168663342879
"69",69,1,3,2,"b_2",2,1.67735741666667,0.460078194526992
"70",70,1,3,1,"r_1",1,1.44425221052632,0.471547456439287
"71",71,1,3,12,"b_12",2,1.58797457575758,0.491885830883814
"72",72,1,3,16,"b_16",2,1.5723765,0.360035001535043
"73",73,1,3,3,"b_3",2,2.18375911538462,2.93055136241579
"74",74,1,3,13,"b_13",2,1.40588980952381,0.440169990221562
"75",75,1,3,12,"r_12",1,1.28192963636364,0.222222198770055
"76",76,1,3,6,"r_6",1,1.53542853846154,0.505362121011936
"77",77,1,3,9,"r_9",1,1.43512327272727,0.211785292820818
"78",78,1,3,5,"r_5",1,1.42582747368421,0.271444747970797
"79",79,1,3,15,"r_15",1,1.52735422222222,0.0931108367734444
"80",80,1,3,5,"b_5",2,1.41359158333333,0.554828742425174
