"","run","id","face","FaceCue","cue","speed"
"1",1,"001",8,"r_8",1,3.40119738166216
"2",1,"001",10,"b_10",2,2.99573227355399
"3",1,"001",15,"b_15",2,2.94443897916644
"4",1,"001",7,"r_7",1,3.61091791264422
"5",1,"001",2,"b_2",2,3.78418963391826
"6",1,"001",1,"r_1",1,3.09104245335832
"7",1,"001",12,"b_12",2,3.52636052461616
"8",1,"001",16,"b_16",2,3.68887945411394
"9",1,"001",3,"b_3",2,3.85014760171006
"10",1,"001",13,"b_13",2,2.99573227355399
"11",1,"001",12,"r_12",1,3.3322045101752
"12",1,"001",6,"r_6",1,3.55534806148941
"13",1,"001",9,"r_9",1,2.99573227355399
"14",1,"001",5,"r_5",1,2.77258872223978
"15",1,"001",15,"r_15",1,3.09104245335832
"16",1,"001",5,"b_5",2,3.73766961828337
"17",1,"001",11,"b_11",2,3.93182563272433
"18",1,"001",2,"r_2",1,3.87120101090789
"19",1,"001",4,"r_4",1,3.63758615972639
"20",1,"001",6,"b_6",2,3.66356164612965
"21",1,"001",1,"b_1",2,3.93182563272433
"22",1,"001",11,"r_11",1,3.80666248977032
"23",1,"001",14,"b_14",2,3.25809653802148
"24",1,"001",7,"b_7",2,3.8286413964891
"25",1,"001",14,"r_14",1,3.58351893845611
"26",1,"001",9,"b_9",2,3.89182029811063
"27",1,"001",16,"r_16",1,3.36729582998647
"28",1,"001",10,"r_10",1,2.99573227355399
"29",1,"001",13,"r_13",1,2.94443897916644
"30",1,"001",4,"b_4",2,3.49650756146648
"31",1,"001",3,"r_3",1,3.89182029811063
"32",1,"001",8,"b_8",2,3.55534806148941
"33",1,"002",8,"r_8",1,2.39789527279837
"34",1,"002",10,"b_10",2,2.39789527279837
"35",1,"002",15,"b_15",2,2.39789527279837
"36",1,"002",7,"r_7",1,2.39789527279837
"37",1,"002",2,"b_2",2,2.39789527279837
"38",1,"002",1,"r_1",1,2.39789527279837
"39",1,"002",12,"b_12",2,2.39789527279837
"40",1,"002",16,"b_16",2,2.39789527279837
"41",1,"002",3,"b_3",2,2.30258509299405
"42",1,"002",13,"b_13",2,2.30258509299405
"43",1,"002",12,"r_12",1,2.30258509299405
"44",1,"002",6,"r_6",1,2.30258509299405
"45",1,"002",9,"r_9",1,2.30258509299405
"46",1,"002",5,"r_5",1,2.30258509299405
"47",1,"002",15,"r_15",1,2.30258509299405
"48",1,"002",5,"b_5",2,2.30258509299405
"49",1,"002",11,"b_11",2,2.30258509299405
"50",1,"002",2,"r_2",1,2.30258509299405
"51",1,"002",4,"r_4",1,2.30258509299405
"52",1,"002",6,"b_6",2,2.30258509299405
"53",1,"002",1,"b_1",2,2.30258509299405
"54",1,"002",11,"r_11",1,2.30258509299405
"55",1,"002",14,"b_14",2,2.30258509299405
"56",1,"002",7,"b_7",2,2.30258509299405
"57",1,"002",14,"r_14",1,2.30258509299405
"58",1,"002",9,"b_9",2,2.30258509299405
"59",1,"002",16,"r_16",1,2.30258509299405
"60",1,"002",10,"r_10",1,2.30258509299405
"61",1,"002",13,"r_13",1,2.30258509299405
"62",1,"002",4,"b_4",2,2.30258509299405
"63",1,"002",3,"r_3",1,2.30258509299405
"64",1,"002",8,"b_8",2,2.30258509299405
"65",1,"003",8,"r_8",1,3.52636052461616
"66",1,"003",10,"b_10",2,2.63905732961526
"67",1,"003",15,"b_15",2,1.94591014905531
