"","seq","blockrb","sub","RT","resp","correct","D","I","E","Manhatton","F1_relevant_rank","F1_irrelevant_rank","F2_relevant_rank","F2_irrelevant_rank","rel","irrel","diag1","diag2","diagdiff"
"1",1,1,1,2.0002616,NA,1,2,3,3.6056,5,2,4,4,1,2,-3,2.828427125,3.535533906,0.7071
"2",2,1,1,1.6480522,1,1,1,3,3.1623,4,1,4,2,1,1,-3,3.535533906,4.949747468,1.4142
"3",3,1,1,2.000131,NA,2,1,1,1.4142,2,4,1,3,2,-1,1,3.535533906,3.535533906,0
"4",4,1,1,1.4528955,1,2,2,2,2.8284,4,3,1,1,3,-2,2,4.242640687,4.242640687,0
"5",5,1,1,1.6921538,1,1,1,1,1.4142,2,1,2,2,1,1,-1,4.949747468,4.949747468,0
"6",6,1,1,2.0000988,NA,1,2,1,2.2361,3,2,2,4,3,2,1,4.242640687,2.121320344,2.1213
"7",7,1,1,1.5545002,1,1,2,1,2.2361,3,2,3,4,2,2,-1,3.535533906,2.828427125,0.7071
"8",8,1,1,1.2071533,1,2,1,2,2.2361,3,4,2,3,4,-1,2,2.828427125,2.121320344,0.7071
"9",9,1,1,1.039302,1,1,3,3,4.2426,6,1,4,4,1,3,-3,3.535533906,3.535533906,0
"10",10,1,1,1.0861482,1,1,3,1,3.1623,4,1,3,4,2,3,-1,4.242640687,2.828427125,1.4142
"11",11,1,1,1.2647914,1,1,2,1,2.2361,3,2,2,4,1,2,-1,4.242640687,3.535533906,0.7071
"12",12,1,1,1.231651,1,1,1,3,3.1623,4,2,1,3,4,1,3,4.949747468,2.121320344,2.8284
"13",13,1,1,1.6572545,1,1,1,1,1.4142,2,3,2,4,1,1,-1,3.535533906,3.535533906,0
"14",14,1,1,1.0818955,1,1,2,1,2.2361,3,1,2,3,1,2,-1,4.949747468,4.242640687,0.7071
"15",15,1,1,1.6208186,2,2,1,1,1.4142,2,4,4,3,3,-1,-1,1.414213562,2.828427125,1.4142
"16",16,1,1,1.0926691,2,2,2,3,3.6056,5,3,4,1,1,-2,-3,2.121320344,5.656854249,3.5355
"17",17,1,1,2.000105,NA,1,1,1,1.4142,2,2,4,3,3,1,-1,2.828427125,2.828427125,0
"18",18,1,1,1.0071568,1,1,3,2,3.6056,5,1,2,4,4,3,2,4.949747468,1.414213562,3.5355
"19",19,1,1,1.1001541,1,2,1,1,1.4142,2,3,2,2,3,-1,1,3.535533906,3.535533906,0
"20",20,1,1,2.0003405,NA,2,1,3,3.1623,4,3,1,2,4,-1,3,4.242640687,2.828427125,1.4142
"21",21,2,1,1.2345305,1,1,2,1,2.2361,3,2,4,4,3,2,-1,2.828427125,2.121320344,0.7071
"22",22,2,1,1.672945,1,1,1,2,2.2361,3,3,3,4,1,1,-2,2.828427125,3.535533906,0.7071
"23",23,2,1,1.1545398,1,2,1,1,1.4142,2,3,1,2,2,-1,1,4.242640687,4.242640687,0
"24",24,2,1,1.812689,1,2,2,1,2.2361,3,3,1,1,2,-2,1,4.242640687,4.949747468,0.7071
"25",25,2,1,0.4002263,1,1,2,2,2.8284,4,1,2,3,4,2,2,4.949747468,2.121320344,2.8284
"26",26,2,1,1.9779122,2,2,1,2,2.2361,3,2,2,1,4,-1,2,4.242640687,3.535533906,0.7071
"27",27,2,1,0.3064683,1,1,3,2,3.6056,5,1,1,4,3,3,2,5.656854249,2.121320344,3.5355
"28",28,2,1,0.4652682,2,2,3,2,3.6056,5,4,2,1,4,-3,2,2.828427125,3.535533906,0.7071
"29",29,2,1,1.0638752,2,1,1,1,1.4142,2,2,2,3,1,1,-1,4.242640687,4.242640687,0
"30",30,2,1,1.3451311,2,1,1,3,3.1623,4,2,4,3,1,1,-3,2.828427125,4.242640687,1.4142
"31",31,2,1,1.4012693,1,1,1,3,3.1623,4,3,4,4,1,1,-3,2.121320344,3.535533906,1.4142
"32",32,2,1,2.0000596,NA,1,1,1,1.4142,2,3,3,4,2,1,-1,2.828427125,2.828427125,0
"33",33,2,1,0.7780491,1,1,2,1,2.2361,3,2,3,4,4,2,1,3.535533906,1.414213562,2.1213
"34",34,2,1,1.0234456,2,2,2,1,2.2361,3,3,2,1,1,-2,-1,3.535533906,5.656854249,2.1213
"35",35,2,1,0.3351407,2,2,2,1,2.2361,3,4,4,2,3,-2,-1,1.414213562,3.535533906,2.1213
"36",36,2,1,0.5526319,2,2,2,1,2.2361,3,4,3,2,4,-2,1,2.121320344,2.828427125,0.7071
"37",37,2,1,1.6562616,2,1,1,1,1.4142,2,3,1,4,2,1,1,4.242640687,2.828427125,1.4142
"38",38,2,1,0.5623318,1,1,3,1,3.1623,4,1,2,4,1,3,-1,4.949747468,3.535533906,1.4142
"39",39,2,1,1.418814,2,2,1,1,1.4142,2,2,1,1,2,-1,1,4.949747468,4.949747468,0
"40",40,2,1,1.4043918,1,1,1,2,2.2361,3,2,3,3,1,1,-2,3.535533906,4.242640687,0.7071
"41",41,3,1,1.6678232,1,1,2,2,2.8284,4,2,4,4,2,2,-2,2.828427125,2.828427125,0
"42",42,3,1,1.5458301,2,2,1,1,1.4142,2,3,2,2,1,-1,-1,3.535533906,4.949747468,1.4142
"43",43,3,1,0.6251593,1,1,3,1,3.1623,4,1,4,4,3,3,-1,3.535533906,2.121320344,1.4142
"44",44,3,1,0.4168407,1,1,2,1,2.2361,3,1,3,3,2,2,-1,4.242640687,3.535533906,0.7071
"45",45,3,1,1.2749168,2,2,1,1,1.4142,2,3,3,2,2,-1,-1,2.828427125,4.242640687,1.4142
"46",46,3,1,1.1042249,2,2,1,1,1.4142,2,2,2,1,1,-1,-1,4.242640687,5.656854249,1.4142
"47",47,3,1,0.6183029,1,1,3,3,4.2426,6,1,1,4,4,3,3,5.656854249,1.414213562,4.2426
"48",48,3,1,0.6665069,1,1,1,1,1.4142,2,1,4,2,3,1,-1,3.535533906,3.535533906,0
"49",49,3,1,1.2234146,2,2,2,3,3.6056,5,3,1,1,4,-2,3,4.242640687,3.535533906,0.7071
"50",50,3,1,1.0701753,2,2,1,1,1.4142,2,3,1,2,2,-1,1,4.242640687,4.242640687,0
"51",51,3,1,1.3836497,1,1,3,1,3.1623,4,1,4,4,3,3,-1,3.535533906,2.121320344,1.4142
"52",52,3,1,1.3653569,1,1,2,1,2.2361,3,2,1,4,2,2,1,4.949747468,2.828427125,2.1213
"53",53,3,1,1.0586234,2,2,1,3,3.1623,4,2,1,1,4,-1,3,4.949747468,3.535533906,1.4142
"54",54,3,1,1.6514533,2,2,1,1,1.4142,2,2,3,1,4,-1,1,3.535533906,3.535533906,0
"55",55,3,1,0.7004777,2,2,3,1,3.1623,4,4,4,1,3,-3,-1,1.414213562,4.242640687,2.8284
"56",56,3,1,1.5932568,2,2,2,1,2.2361,3,3,4,1,3,-2,-1,2.121320344,4.242640687,2.1213
"57",57,3,1,1.3086382,2,2,2,2,2.8284,4,4,1,2,3,-2,2,3.535533906,3.535533906,0
"58",58,3,1,2.0000794,NA,1,1,3,3.1623,4,2,4,3,1,1,-3,2.828427125,4.242640687,1.4142
"59",59,3,1,1.7170587,1,2,1,1,1.4142,2,3,3,2,4,-1,1,2.828427125,2.828427125,0
"60",60,3,1,0.7017665,2,2,1,1,1.4142,2,4,3,3,4,-1,1,2.121320344,2.121320344,0
"61",61,4,1,1.4260376,1,2,1,1,1.4142,2,2,4,1,3,-1,-1,2.828427125,4.242640687,1.4142
"62",62,4,1,1.4915923,1,1,2,1,2.2361,3,2,3,4,2,2,-1,3.535533906,2.828427125,0.7071
"63",63,4,1,0.409432,2,2,2,1,2.2361,3,4,1,2,2,-2,1,3.535533906,4.242640687,0.7071
"64",64,4,1,1.8857151,2,2,2,1,2.2361,3,3,3,1,4,-2,1,2.828427125,3.535533906,0.7071
"65",65,4,1,0.3390608,1,1,3,3,4.2426,6,1,4,4,1,3,-3,3.535533906,3.535533906,0
"66",66,4,1,0.8477033,2,2,3,1,3.1623,4,4,3,1,4,-3,1,2.121320344,3.535533906,1.4142
"67",67,4,1,0.7507618,1,1,1,2,2.2361,3,1,1,2,3,1,2,5.656854249,3.535533906,2.1213
"68",68,4,1,1.111073,2,2,2,1,2.2361,3,4,2,2,1,-2,-1,2.828427125,4.949747468,2.1213
"69",69,4,1,0.693702,1,1,3,1,3.1623,4,1,1,4,2,3,1,5.656854249,2.828427125,2.8284
"70",70,4,1,1.2685012,2,2,2,1,2.2361,3,3,1,1,2,-2,1,4.242640687,4.949747468,0.7071
"71",71,4,1,1.224343,1,1,3,1,3.1623,4,1,3,4,4,3,1,4.242640687,1.414213562,2.8284
"72",72,4,1,2.000103,NA,2,1,2,2.2361,3,2,1,1,3,-1,2,4.949747468,4.242640687,0.7071
"73",73,4,1,0.7776429,1,1,1,1,1.4142,2,1,2,2,3,1,1,4.949747468,3.535533906,1.4142
"74",74,4,1,0.8549276,2,2,1,1,1.4142,2,3,2,2,1,-1,-1,3.535533906,4.949747468,1.4142
"75",75,4,1,0.469303,2,2,1,2,2.2361,3,4,4,3,2,-1,-2,1.414213562,3.535533906,2.1213
"76",76,4,1,0.5482372,2,2,2,2,2.8284,4,4,3,2,1,-2,-2,2.121320344,4.949747468,2.8284
"77",77,4,1,1.9984335,1,1,1,1,1.4142,2,3,4,4,3,1,-1,2.121320344,2.121320344,0
"78",78,4,1,0.6469436,1,1,2,3,3.6056,5,1,4,3,1,2,-3,3.535533906,4.242640687,0.7071
"79",79,4,1,0.95907,2,2,2,2,2.8284,4,3,3,1,1,-2,-2,2.828427125,5.656854249,2.8284
"80",80,4,1,1.7468781,1,1,1,2,2.2361,3,3,4,4,2,1,-2,2.121320344,2.828427125,0.7071
"81",81,5,1,1.6055279,1,2,2,1,2.2361,3,3,2,1,1,-2,-1,3.535533906,5.656854249,2.1213
"82",82,5,1,1.5940774,1,1,1,3,3.1623,4,3,1,4,4,1,3,4.242640687,1.414213562,2.8284
"83",83,5,1,0.5481475,1,1,2,2,2.8284,4,1,4,3,2,2,-2,3.535533906,3.535533906,0
"84",84,5,1,0.3486658,1,1,3,2,3.6056,5,1,4,4,2,3,-2,3.535533906,2.828427125,0.7071
"85",85,5,1,0.4199581,1,1,2,1,2.2361,3,1,2,3,3,2,1,4.949747468,2.828427125,2.1213
"86",86,5,1,0.6773097,1,1,3,2,3.6056,5,1,3,4,1,3,-2,4.242640687,3.535533906,0.7071
"87",87,5,1,0.3103851,1,1,1,3,3.1623,4,1,1,2,4,1,3,5.656854249,2.828427125,2.8284
"88",88,5,1,0.6705813,1,1,2,2,2.8284,4,2,4,4,2,2,-2,2.828427125,2.828427125,0
"89",89,5,1,0.5518153,2,2,2,2,2.8284,4,4,3,2,1,-2,-2,2.121320344,4.949747468,2.8284
"90",90,5,1,1.668213,2,2,2,2,2.8284,4,3,1,1,3,-2,2,4.242640687,4.242640687,0
"91",91,5,1,0.7008918,2,2,1,1,1.4142,2,4,3,3,2,-1,-1,2.121320344,3.535533906,1.4142
"92",92,5,1,0.6281421,1,1,2,1,2.2361,3,1,2,3,3,2,1,4.949747468,2.828427125,2.1213
"93",93,5,1,0.9795759,2,2,1,1,1.4142,2,3,2,2,3,-1,1,3.535533906,3.535533906,0
"94",94,5,1,1.2398368,1,1,2,2,2.8284,4,2,3,4,1,2,-2,3.535533906,3.535533906,0
"95",95,5,1,0.5497644,2,2,3,2,3.6056,5,4,4,1,2,-3,-2,1.414213562,4.949747468,3.5355
"96",96,5,1,1.4362631,2,2,1,2,2.2361,3,3,4,2,2,-1,-2,2.121320344,4.242640687,2.1213
"97",97,5,1,0.4579599,2,2,2,1,2.2361,3,4,2,2,3,-2,1,2.828427125,3.535533906,0.7071
"98",98,5,1,1.0215713,2,2,1,1,1.4142,2,2,2,1,3,-1,1,4.242640687,4.242640687,0
"99",99,5,1,0.6189498,1,1,2,1,2.2361,3,1,4,3,3,2,-1,3.535533906,2.828427125,0.7071
"100",100,5,1,0.9890405,2,2,1,2,2.2361,3,3,4,2,2,-1,-2,2.121320344,4.242640687,2.1213
"101",101,6,1,1.066242,2,2,1,2,2.2361,3,2,4,1,2,-1,-2,2.828427125,4.949747468,2.1213
"102",102,6,1,1.9703543,1,1,1,1,1.4142,2,3,2,4,3,1,1,3.535533906,2.121320344,1.4142
"103",103,6,1,0.7168448,1,1,3,2,3.6056,5,1,4,4,2,3,-2,3.535533906,2.828427125,0.7071
"104",104,6,1,2.0000162,NA,2,2,1,2.2361,3,3,4,1,3,-2,-1,2.121320344,4.242640687,2.1213
"105",105,6,1,1.2685235,1,1,1,3,3.1623,4,2,1,3,4,1,3,4.949747468,2.121320344,2.8284
"106",106,6,1,0.6777035,1,1,1,2,2.2361,3,1,4,2,2,1,-2,3.535533906,4.242640687,0.7071
"107",107,6,1,0.691248,1,1,2,3,3.6056,5,1,4,3,1,2,-3,3.535533906,4.242640687,0.7071
"108",108,6,1,0.5673359,2,2,2,1,2.2361,3,4,2,2,3,-2,1,2.828427125,3.535533906,0.7071
"109",109,6,1,1.6540444,1,1,2,2,2.8284,4,2,3,4,1,2,-2,3.535533906,3.535533906,0
"110",110,6,1,0.8174625,1,1,2,1,2.2361,3,1,3,3,2,2,-1,4.242640687,3.535533906,0.7071
"111",111,6,1,0.5871062,1,1,2,1,2.2361,3,1,4,3,3,2,-1,3.535533906,2.828427125,0.7071
"112",112,6,1,0.5847928,1,1,3,2,3.6056,5,1,2,4,4,3,2,4.949747468,1.414213562,3.5355
"113",113,6,1,1.7899684,1,2,2,1,2.2361,3,3,2,1,3,-2,1,3.535533906,4.242640687,0.7071
"114",114,6,1,1.8636036,1,1,1,2,2.2361,3,3,1,4,3,1,2,4.242640687,2.121320344,2.1213
"115",115,6,1,0.5283265,2,2,3,3,4.2426,6,4,4,1,1,-3,-3,1.414213562,5.656854249,4.2426
"116",116,6,1,0.4890876,1,1,1,3,3.1623,4,1,4,2,1,1,-3,3.535533906,4.949747468,1.4142
"117",117,6,1,0.8105338,1,1,1,1,1.4142,2,2,2,3,3,1,1,4.242640687,2.828427125,1.4142
"118",118,6,1,1.4422126,1,1,1,1,1.4142,2,2,4,3,3,1,-1,2.828427125,2.828427125,0
"119",119,6,1,0.7536045,2,2,1,1,1.4142,2,4,2,3,1,-1,-1,2.828427125,4.242640687,1.4142
"120",120,6,1,0.5882482,1,1,3,2,3.6056,5,1,1,4,3,3,2,5.656854249,2.121320344,3.5355
"121",121,1,2,0.9866707,1,1,2,3,3.6056,5,2,4,4,1,2,-3,2.828427125,3.535533906,0.7071
"122",122,1,2,0.8313301,1,1,1,3,3.1623,4,1,4,2,1,1,-3,3.535533906,4.949747468,1.4142
"123",123,1,2,0.4638882,2,2,1,1,1.4142,2,4,1,3,2,-1,1,3.535533906,3.535533906,0
"124",124,1,2,0.8428903,2,2,2,2,2.8284,4,3,1,1,3,-2,2,4.242640687,4.242640687,0
"125",125,1,2,0.634693,1,1,1,1,1.4142,2,1,2,2,1,1,-1,4.949747468,4.949747468,0
"126",126,1,2,0.9813786,1,1,2,1,2.2361,3,2,2,4,3,2,1,4.242640687,2.121320344,2.1213
"127",127,1,2,0.919568,1,1,2,1,2.2361,3,2,3,4,2,2,-1,3.535533906,2.828427125,0.7071
"128",128,1,2,0.3139928,2,2,1,2,2.2361,3,4,2,3,4,-1,2,2.828427125,2.121320344,0.7071
"129",129,1,2,0.2262626,1,1,3,3,4.2426,6,1,4,4,1,3,-3,3.535533906,3.535533906,0
"130",130,1,2,0.2567386,1,1,3,1,3.1623,4,1,3,4,2,3,-1,4.242640687,2.828427125,1.4142
"131",131,1,2,0.8026949,1,1,2,1,2.2361,3,2,2,4,1,2,-1,4.242640687,3.535533906,0.7071
"132",132,1,2,0.880723,1,1,1,3,3.1623,4,2,1,3,4,1,3,4.949747468,2.121320344,2.8284
"133",133,1,2,1.1949048,1,1,1,1,1.4142,2,3,2,4,1,1,-1,3.535533906,3.535533906,0
"134",134,1,2,0.2525153,1,1,2,1,2.2361,3,1,2,3,1,2,-1,4.949747468,4.242640687,0.7071
"135",135,1,2,0.1851306,2,2,1,1,1.4142,2,4,4,3,3,-1,-1,1.414213562,2.828427125,1.4142
"136",136,1,2,0.9087188,1,2,2,3,3.6056,5,3,4,1,1,-2,-3,2.121320344,5.656854249,3.5355
"137",137,1,2,1.0555872,1,1,1,1,1.4142,2,2,4,3,3,1,-1,2.828427125,2.828427125,0
