"","seq","blockw","sub","RT","resp","correct","D1","D2","E","Manhatton","F1_relevant_rank","F1_irrelevant_rank","F2_relevant_rank","F2_irrelevant_rank","rel1","rel2","diag1","diag2","chooseF1big","diag","diagdiff"
"1",1,1,1,0.5048323,1,1,2,2,2.8284,4,2,1,4,3,2,2,4.949747468,2.121320344,2,2.828427125,2.8284
"2",2,1,1,1.1800689,2,2,1,2,2.2361,3,3,3,2,1,-1,-2,2.828427125,4.949747468,-2,-2.121320344,2.1213
"3",3,1,1,1.0118915,2,2,1,3,3.1623,4,3,4,2,1,-1,-3,2.121320344,4.949747468,-1,-2.828427125,2.8284
"4",4,1,1,0.5240659,1,1,2,1,2.2361,3,1,3,3,4,2,1,4.242640687,2.121320344,2,2.121320344,2.1213
"5",5,1,1,1.2354353,2,2,1,3,3.1623,4,4,4,3,1,-1,-3,1.414213562,4.242640687,-3,-2.828427125,2.8284
"6",6,1,1,0.505699,2,2,2,2,2.8284,4,4,4,2,2,-2,-2,1.414213562,4.242640687,-2,-2.828427125,2.8284
"7",7,1,1,0.6288243,1,1,2,2,2.8284,4,1,1,3,3,2,2,5.656854249,2.828427125,2,2.828427125,2.8284
"8",8,1,1,1.1755824,1,1,2,1,2.2361,3,2,3,4,4,2,1,3.535533906,1.414213562,2,2.121320344,2.1213
"9",9,1,1,0.5141486,1,1,1,1,1.4142,2,1,3,2,4,1,1,4.242640687,2.828427125,1,1.414213562,1.4142
"10",10,1,1,0.9782536,2,2,3,1,3.1623,4,4,2,1,1,-3,-1,2.828427125,5.656854249,-1,-2.828427125,2.8284
"11",11,1,1,0.5142443,1,1,1,1,1.4142,2,1,2,2,3,1,1,4.949747468,3.535533906,1,1.414213562,1.4142
"12",12,1,1,0.558931,1,1,1,2,2.2361,3,1,2,2,4,1,2,4.949747468,2.828427125,1,2.121320344,2.1213
"13",13,1,1,0.5701621,1,1,2,1,2.2361,3,1,1,3,2,2,1,5.656854249,3.535533906,1,2.121320344,2.1213
"14",14,1,1,1.3604155,2,2,2,1,2.2361,3,3,3,1,2,-2,-1,2.828427125,4.949747468,-1,-2.121320344,2.1213
"15",15,1,1,0.6567985,2,2,3,2,3.6056,5,4,4,1,2,-3,-2,1.414213562,4.949747468,-2,-3.535533906,3.5355
"16",16,1,1,1.5666666,1,1,1,1,1.4142,2,3,3,4,4,1,1,2.828427125,1.414213562,1,1.414213562,1.4142
"17",17,1,1,0.9070175,1,1,2,1,2.2361,3,2,2,4,3,2,1,4.242640687,2.121320344,1,2.121320344,2.1213
"18",18,1,1,0.5925134,2,2,3,1,3.1623,4,4,3,1,2,-3,-1,2.121320344,4.949747468,-1,-2.828427125,2.8284
"19",19,1,1,1.0497061,1,1,1,1,1.4142,2,3,2,4,3,1,1,3.535533906,2.121320344,1,1.414213562,1.4142
"20",20,1,1,1.4968768,2,2,1,2,2.2361,3,3,4,2,2,-1,-2,2.121320344,4.242640687,-1,-2.121320344,2.1213
"21",21,2,1,0.5870174,1,1,1,3,1.4142,4,3,1,4,4,1,3,4.242640687,1.414213562,3,2.828427125,2.8284
"22",22,2,1,0.6590814,2,2,1,1,3.6056,2,4,3,3,2,-1,-1,2.121320344,3.535533906,-1,-1.414213562,1.4142
"23",23,2,1,1.0010952,2,2,1,3,3.1623,4,2,4,1,1,-1,-3,2.828427125,5.656854249,-1,-2.828427125,2.8284
"24",24,2,1,0.5836936,1,1,1,1,2.2361,2,1,3,2,4,1,1,4.242640687,2.828427125,1,1.414213562,1.4142
"25",25,2,1,1.6560372,2,2,1,2,3.1623,3,2,3,1,1,-1,-2,3.535533906,5.656854249,-1,-2.121320344,2.1213
"26",26,2,1,0.786795,1,1,1,3,3.1623,4,1,1,2,4,1,3,5.656854249,2.828427125,3,2.828427125,2.8284
"27",27,2,1,1.0470325,2,2,1,1,2.2361,2,3,2,2,1,-1,-1,3.535533906,4.949747468,-1,-1.414213562,1.4142
"28",28,2,1,0.5988849,2,2,1,1,1.4142,2,3,4,2,3,-1,-1,2.121320344,3.535533906,-1,-1.414213562,1.4142
"29",29,2,1,1.2686781,2,2,3,1,4.2426,4,4,3,1,2,-3,-1,2.121320344,4.949747468,-1,-2.828427125,2.8284
"30",30,2,1,0.9064832,2,2,1,2,3.6056,3,3,3,2,1,-1,-2,2.828427125,4.949747468,-2,-2.121320344,2.1213
"31",31,2,1,1.275067,1,1,1,1,2.2361,2,3,3,4,4,1,1,2.828427125,1.414213562,1,1.414213562,1.4142
"32",32,2,1,1.0899771,2,2,1,1,2.2361,2,4,2,3,1,-1,-1,2.828427125,4.242640687,-1,-1.414213562,1.4142
"33",33,2,1,1.4064414,1,1,2,1,2.2361,3,2,3,4,4,2,1,3.535533906,1.414213562,2,2.121320344,2.1213
"34",34,2,1,0.5704567,1,1,2,1,2.2361,3,1,3,3,4,2,1,4.242640687,2.121320344,2,2.121320344,2.1213
"35",35,2,1,0.4966509,1,1,1,1,1.4142,2,1,1,2,2,1,1,5.656854249,4.242640687,1,1.414213562,1.4142
"36",36,2,1,0.636097,1,1,3,3,2.2361,6,1,1,4,4,3,3,5.656854249,1.414213562,3,4.242640687,4.2426
