,id,roi,model,TR,var
1,1,Amy_L,D,1099,0.098612047
2,1,Amy_R,D,1099,0.156534926
3,1,EC_L,D,1099,1.89959107
4,1,EC_R,D,1099,0.750284634
5,1,Hippo_L,D,1099,0.082165589
6,1,Hippo_R,D,1099,0.069070061
7,1,M1l,D,1099,0.089103382
8,1,M1r,D,1099,0.068798057
9,1,mPFC,D,1099,0.09848261
11,2,Amy_L,D,1099,0.293603224
12,2,Amy_R,D,1099,0.19898025
13,2,EC_L,D,1099,1.437860514
14,2,EC_R,D,1099,1.204299945
15,2,Hippo_L,D,1099,0.122440708
16,2,Hippo_R,D,1099,0.062308323
17,2,M1l,D,1099,0.189640193
18,2,M1r,D,1099,0.464444434
19,2,mPFC,D,1099,0.194539211
21,3,Amy_L,D,1099,0.385050732
22,3,Amy_R,D,1099,0.212430573
23,3,EC_L,D,1099,4.101734514
24,3,EC_R,D,1099,3.630859526
25,3,Hippo_L,D,1099,0.130053682
26,3,Hippo_R,D,1099,0.122657113
27,3,M1l,D,1099,0.134418162
28,3,M1r,D,1099,0.207978971
29,3,mPFC,D,1099,0.492752108
31,4,Amy_L,D,1099,0.883279819
32,4,Amy_R,D,1099,0.641222352
33,4,EC_L,D,1099,4.122995341
34,4,EC_R,D,1099,5.253904409
35,4,Hippo_L,D,1099,0.243655657
36,4,Hippo_R,D,1099,0.316210753
37,4,M1l,D,1099,0.209480202
38,4,M1r,D,1099,0.40797253
39,4,mPFC,D,1099,0.513249725
41,6,Amy_L,D,1099,0.08607701
42,6,Amy_R,D,1099,0.095709605
43,6,EC_L,D,1099,0.776463418
44,6,EC_R,D,1099,1.595833535
45,6,Hippo_L,D,1099,0.069538129
46,6,Hippo_R,D,1099,0.067936496
47,6,M1l,D,1099,0.094861505
48,6,M1r,D,1099,0.13087111
49,6,mPFC,D,1099,0.116707727
51,7,Amy_L,D,1112,0.415255817
52,7,Amy_R,D,1112,0.472142063
53,7,EC_L,D,1112,1.80690277
54,7,EC_R,D,1112,2.999122869
55,7,Hippo_L,D,1112,0.11891727
56,7,Hippo_R,D,1112,0.167816734
57,7,M1l,D,1112,0.089262172
58,7,M1r,D,1112,0.111529958
59,7,mPFC,D,1112,0.254352039
61,9,Amy_L,D,1112,0.841050958
62,9,Amy_R,D,1112,0.296863429
63,9,EC_L,D,1112,4.426756603
64,9,EC_R,D,1112,3.917353397
65,9,Hippo_L,D,1112,0.31159504
66,9,Hippo_R,D,1112,0.162491669
67,9,M1l,D,1112,0.245040166
68,9,M1r,D,1112,0.379036463
69,9,mPFC,D,1112,0.677835282
71,10,Amy_L,D,1112,0.968299124
72,10,Amy_R,D,1112,1.242543761
73,10,EC_L,D,1112,5.188082944
74,10,EC_R,D,1112,9.666075885
75,10,Hippo_L,D,1112,0.461360653
76,10,Hippo_R,D,1112,0.691752542
77,10,M1l,D,1112,0.264518399
78,10,M1r,D,1112,0.312900251
79,10,mPFC,D,1112,1.08841804
81,11,Amy_L,D,1112,0.111302957
82,11,Amy_R,D,1112,0.119233271
83,11,EC_L,D,1112,1.117226233
84,11,EC_R,D,1112,0.767829102
85,11,Hippo_L,D,1112,0.101724463
86,11,Hippo_R,D,1112,0.074271535
87,11,M1l,D,1112,0.028793791
88,11,M1r,D,1112,0.055801039
89,11,mPFC,D,1112,0.230781451
91,15,Amy_L,D,1112,0.153247991
92,15,Amy_R,D,1112,0.098523869
93,15,EC_L,D,1112,2.225921706
94,15,EC_R,D,1112,1.042077634
95,15,Hippo_L,D,1112,0.101263161
96,15,Hippo_R,D,1112,0.098784106
97,15,M1l,D,1112,0.057213802
98,15,M1r,D,1112,0.072178149
99,15,mPFC,D,1112,0.53271428
101,17,Amy_L,D,1112,0.307644311
102,17,Amy_R,D,1112,0.270572232
103,17,EC_L,D,1112,1.11773823
104,17,EC_R,D,1112,0.737737084
105,17,Hippo_L,D,1112,0.116247123
106,17,Hippo_R,D,1112,0.097311811
107,17,M1l,D,1112,0.128996547
108,17,M1r,D,1112,0.1974006
109,17,mPFC,D,1112,0.271785438
111,18,Amy_L,D,1112,0.162386996
112,18,Amy_R,D,1112,0.088034432
113,18,EC_L,D,1112,0.275853084
114,18,EC_R,D,1112,0.245325278
115,18,Hippo_L,D,1112,0.073906842
116,18,Hippo_R,D,1112,0.068469224
117,18,M1l,D,1112,0.094874898
118,18,M1r,D,1112,0.108983458
119,18,mPFC,D,1112,0.085540422
121,19,Amy_L,D,1112,1.014907777
122,19,Amy_R,D,1112,0.428019212
123,19,EC_L,D,1112,3.798651895
124,19,EC_R,D,1112,0.934734128
125,19,Hippo_L,D,1112,0.734536439
126,19,Hippo_R,D,1112,0.292423493
