,id,roi,model,TR,var
1,1,Amy_L,E,1099,0.098766992
2,1,Amy_R,E,1099,0.156645725
3,1,EC_L,E,1099,1.900342738
4,1,EC_R,E,1099,0.750384565
5,1,Hippo_L,E,1099,0.082169747
6,1,Hippo_R,E,1099,0.069130939
7,1,M1l,E,1099,0.089609103
8,1,M1r,E,1099,0.068880347
9,1,mPFC,E,1099,0.098430294
11,2,Amy_L,E,1099,0.293788209
12,2,Amy_R,E,1099,0.199015575
13,2,EC_L,E,1099,1.437818496
14,2,EC_R,E,1099,1.206901033
15,2,Hippo_L,E,1099,0.122520934
16,2,Hippo_R,E,1099,0.06254206
17,2,M1l,E,1099,0.189608492
18,2,M1r,E,1099,0.460240563
19,2,mPFC,E,1099,0.194572173
21,3,Amy_L,E,1099,0.385087071
22,3,Amy_R,E,1099,0.212315588
23,3,EC_L,E,1099,4.097834487
24,3,EC_R,E,1099,3.631315858
25,3,Hippo_L,E,1099,0.130704382
26,3,Hippo_R,E,1099,0.122762609
27,3,M1l,E,1099,0.1355526
28,3,M1r,E,1099,0.208664902
29,3,mPFC,E,1099,0.492742869
31,4,Amy_L,E,1099,0.881770714
32,4,Amy_R,E,1099,0.640077922
33,4,EC_L,E,1099,4.119410401
34,4,EC_R,E,1099,5.235317272
35,4,Hippo_L,E,1099,0.244358794
36,4,Hippo_R,E,1099,0.316175058
37,4,M1l,E,1099,0.209873154
38,4,M1r,E,1099,0.411212495
39,4,mPFC,E,1099,0.514360307
41,6,Amy_L,E,1099,0.086188882
42,6,Amy_R,E,1099,0.095708249
43,6,EC_L,E,1099,0.776542027
44,6,EC_R,E,1099,1.594523098
45,6,Hippo_L,E,1099,0.069547571
46,6,Hippo_R,E,1099,0.06793644
47,6,M1l,E,1099,0.094883015
48,6,M1r,E,1099,0.131199302
49,6,mPFC,E,1099,0.116839125
51,7,Amy_L,E,1112,0.415240279
52,7,Amy_R,E,1112,0.472281081
53,7,EC_L,E,1112,1.817646775
54,7,EC_R,E,1112,2.997789772
55,7,Hippo_L,E,1112,0.119156889
56,7,Hippo_R,E,1112,0.168152805
57,7,M1l,E,1112,0.089167932
58,7,M1r,E,1112,0.11074397
59,7,mPFC,E,1112,0.254181891
61,9,Amy_L,E,1112,0.841037874
62,9,Amy_R,E,1112,0.296875645
63,9,EC_L,E,1112,4.425014193
64,9,EC_R,E,1112,3.910022866
65,9,Hippo_L,E,1112,0.313197307
66,9,Hippo_R,E,1112,0.162865821
67,9,M1l,E,1112,0.24598461
68,9,M1r,E,1112,0.378896792
69,9,mPFC,E,1112,0.67834236
71,10,Amy_L,E,1112,0.979064567
72,10,Amy_R,E,1112,1.249057842
73,10,EC_L,E,1112,5.18214391
74,10,EC_R,E,1112,9.656672777
75,10,Hippo_L,E,1112,0.460404946
76,10,Hippo_R,E,1112,0.698277516
77,10,M1l,E,1112,0.264519412
78,10,M1r,E,1112,0.312795824
79,10,mPFC,E,1112,1.093157825
81,11,Amy_L,E,1112,0.111246095
82,11,Amy_R,E,1112,0.119030547
83,11,EC_L,E,1112,1.116970201
84,11,EC_R,E,1112,0.769229724
85,11,Hippo_L,E,1112,0.102822135
86,11,Hippo_R,E,1112,0.074524697
87,11,M1l,E,1112,0.028807964
88,11,M1r,E,1112,0.05586475
89,11,mPFC,E,1112,0.231021565
91,15,Amy_L,E,1112,0.153259738
92,15,Amy_R,E,1112,0.098576647
93,15,EC_L,E,1112,2.229864129
94,15,EC_R,E,1112,1.042762936
95,15,Hippo_L,E,1112,0.101582358
96,15,Hippo_R,E,1112,0.099109574
97,15,M1l,E,1112,0.057284801
98,15,M1r,E,1112,0.072197727
99,15,mPFC,E,1112,0.53277971
101,17,Amy_L,E,1112,0.307643296
102,17,Amy_R,E,1112,0.27073863
103,17,EC_L,E,1112,1.121737659
104,17,EC_R,E,1112,0.737604747
105,17,Hippo_L,E,1112,0.116282766
106,17,Hippo_R,E,1112,0.097485999
107,17,M1l,E,1112,0.130444684
108,17,M1r,E,1112,0.200279591
109,17,mPFC,E,1112,0.273943588
111,18,Amy_L,E,1112,0.162658858
112,18,Amy_R,E,1112,0.088026411
113,18,EC_L,E,1112,0.27629856
114,18,EC_R,E,1112,0.245453157
115,18,Hippo_L,E,1112,0.073965478
116,18,Hippo_R,E,1112,0.068360409
117,18,M1l,E,1112,0.095467746
118,18,M1r,E,1112,0.110177637
119,18,mPFC,E,1112,0.08572351
121,19,Amy_L,E,1112,1.013622058
122,19,Amy_R,E,1112,0.427722436
123,19,EC_L,E,1112,3.799175686
124,19,EC_R,E,1112,0.934799133
125,19,Hippo_L,E,1112,0.723248685
126,19,Hippo_R,E,1112,0.291874099
127,19,M1l,E,1112,0.507607829
128,19,M1r,E,1112,0.291001242
129,19,mPFC,E,1112,1.505869904
131,21,Amy_L,E,1112,0.109037016
132,21,Amy_R,E,1112,0.143806758
133,21,EC_L,E,1112,5.890436816
134,21,EC_R,E,1112,0.714101454
135,21,Hippo_L,E,1112,0.126497748
136,21,Hippo_R,E,1112,0.109194892
137,21,M1l,E,1112,0.108035166
138,21,M1r,E,1112,0.145976562
139,21,mPFC,E,1112,0.270410656
141,22,Amy_L,E,1112,0.347996443
142,22,Amy_R,E,1112,0.257673104
143,22,EC_L,E,1112,3.769209191
144,22,EC_R,E,1112,1.715066946
145,22,Hippo_L,E,1112,0.234823317
146,22,Hippo_R,E,1112,0.212659047
147,22,M1l,E,1112,0.245529409
148,22,M1r,E,1112,0.453562322
149,22,mPFC,E,1112,0.692204085
151,23,Amy_L,E,1112,0.249864578
152,23,Amy_R,E,1112,0.151489414
153,23,EC_L,E,1112,1.310048705
154,23,EC_R,E,1112,0.351961442
155,23,Hippo_L,E,1112,0.054783302
156,23,Hippo_R,E,1112,0.057835245
157,23,M1l,E,1112,0.079963763
158,23,M1r,E,1112,0.258578072
159,23,mPFC,E,1112,0.15715823
161,24,Amy_L,E,1112,0.101378557
162,24,Amy_R,E,1112,0.11375515
163,24,EC_L,E,1112,0.795570639
164,24,EC_R,E,1112,0.270774633
165,24,Hippo_L,E,1112,0.078400955
166,24,Hippo_R,E,1112,0.060984985
167,24,M1l,E,1112,0.081374931
168,24,M1r,E,1112,0.195323324
169,24,mPFC,E,1112,0.06574518
171,25,Amy_L,E,1112,0.289962568
172,25,Amy_R,E,1112,0.194304854
173,25,EC_L,E,1112,0.867144298
174,25,EC_R,E,1112,0.523630315
175,25,Hippo_L,E,1112,0.182875786
176,25,Hippo_R,E,1112,0.080834753
177,25,M1l,E,1112,0.117360515
178,25,M1r,E,1112,0.105046331
179,25,mPFC,E,1112,0.129152688
181,26,Amy_L,E,1112,0.13334782
182,26,Amy_R,E,1112,0.5924146
183,26,EC_L,E,1112,0.350864538
184,26,EC_R,E,1112,0.293346691
185,26,Hippo_L,E,1112,0.069567731
186,26,Hippo_R,E,1112,0.076645328
187,26,M1l,E,1112,0.060320016
188,26,M1r,E,1112,0.102369454
189,26,mPFC,E,1112,0.148978095
191,27,Amy_L,E,1112,0.16602145
192,27,Amy_R,E,1112,0.363980458
193,27,EC_L,E,1112,3.561853558
194,27,EC_R,E,1112,0.608574668
195,27,Hippo_L,E,1112,0.184651302
196,27,Hippo_R,E,1112,0.195298102
197,27,M1l,E,1112,0.090523207
198,27,M1r,E,1112,0.120926731
199,27,mPFC,E,1112,0.862973178
201,28,Amy_L,E,1112,0.234350081
202,28,Amy_R,E,1112,0.19025725
203,28,EC_L,E,1112,2.470239334
204,28,EC_R,E,1112,0.414347307
205,28,Hippo_L,E,1112,0.341181727
206,28,Hippo_R,E,1112,0.155590135
207,28,M1l,E,1112,0.328338496
208,28,M1r,E,1112,0.128911021
209,28,mPFC,E,1112,0.115016547
211,29,Amy_L,E,1112,0.096218814
212,29,Amy_R,E,1112,0.061577941
213,29,EC_L,E,1112,0.434228372
214,29,EC_R,E,1112,0.146576123
215,29,Hippo_L,E,1112,0.063999423
216,29,Hippo_R,E,1112,0.038403065
217,29,M1l,E,1112,0.035758219
218,29,M1r,E,1112,0.087146178
219,29,mPFC,E,1112,0.055945616
221,30,Amy_L,E,1112,0.149095741
222,30,Amy_R,E,1112,0.223326448
223,30,EC_L,E,1112,0.687277456
224,30,EC_R,E,1112,0.352819778
225,30,Hippo_L,E,1112,0.090424824
226,30,Hippo_R,E,1112,0.046323037
227,30,M1l,E,1112,0.03707778
228,30,M1r,E,1112,0.065447254
229,30,mPFC,E,1112,0.058090423
231,31,Amy_L,E,1112,0.283330696
232,31,Amy_R,E,1112,0.848349968
233,31,EC_L,E,1112,1.388751503
234,31,EC_R,E,1112,0.651422478
235,31,Hippo_L,E,1112,0.062763007
236,31,Hippo_R,E,1112,0.062795672
237,31,M1l,E,1112,0.051404197
238,31,M1r,E,1112,0.065579877
239,31,mPFC,E,1112,0.188374763
