,id,roi,model,TR,var
1,1,Amy_L,I,1099,0.09877219
2,1,Amy_R,I,1099,0.156432783
3,1,EC_L,I,1099,1.901234655
4,1,EC_R,I,1099,0.749254744
5,1,Hippo_L,I,1099,0.081994939
6,1,Hippo_R,I,1099,0.06895009
7,1,M1l,I,1099,0.08955839
8,1,M1r,I,1099,0.069151157
9,1,mPFC,I,1099,0.098286522
11,2,Amy_L,I,1099,0.293632812
12,2,Amy_R,I,1099,0.198794794
13,2,EC_L,I,1099,1.438369893
14,2,EC_R,I,1099,1.209717501
15,2,Hippo_L,I,1099,0.122202779
16,2,Hippo_R,I,1099,0.06211549
17,2,M1l,I,1099,0.189626551
18,2,M1r,I,1099,0.46304076
19,2,mPFC,I,1099,0.194550747
21,3,Amy_L,I,1099,0.385178395
22,3,Amy_R,I,1099,0.212808803
23,3,EC_L,I,1099,4.096188876
24,3,EC_R,I,1099,3.620614966
25,3,Hippo_L,I,1099,0.130706282
26,3,Hippo_R,I,1099,0.123154974
27,3,M1l,I,1099,0.1359872
28,3,M1r,I,1099,0.208744996
29,3,mPFC,I,1099,0.492695347
31,4,Amy_L,I,1099,0.878147708
32,4,Amy_R,I,1099,0.638755036
33,4,EC_L,I,1099,4.110499971
34,4,EC_R,I,1099,5.190687936
35,4,Hippo_L,I,1099,0.243902522
36,4,Hippo_R,I,1099,0.313941752
37,4,M1l,I,1099,0.210344323
38,4,M1r,I,1099,0.409845609
39,4,mPFC,I,1099,0.515083614
41,6,Amy_L,I,1099,0.086206016
42,6,Amy_R,I,1099,0.095698928
43,6,EC_L,I,1099,0.776282858
44,6,EC_R,I,1099,1.594001228
45,6,Hippo_L,I,1099,0.069537667
46,6,Hippo_R,I,1099,0.067934146
47,6,M1l,I,1099,0.094728063
48,6,M1r,I,1099,0.131112206
49,6,mPFC,I,1099,0.117082575
51,7,Amy_L,I,1112,0.416547797
52,7,Amy_R,I,1112,0.472402781
53,7,EC_L,I,1112,1.832778209
54,7,EC_R,I,1112,2.995454584
55,7,Hippo_L,I,1112,0.119266247
56,7,Hippo_R,I,1112,0.168786566
57,7,M1l,I,1112,0.088514227
