,id,roi,model,TR,var
1,1,Amy_L,diag,1099,0.098730318
2,1,Amy_R,diag,1099,0.156670614
3,1,EC_L,diag,1099,1.900858822
4,1,EC_R,diag,1099,0.750134146
5,1,Hippo_L,diag,1099,0.082248102
6,1,Hippo_R,diag,1099,0.069084837
7,1,M1l,diag,1099,0.089269091
8,1,M1r,diag,1099,0.069141049
9,1,mPFC,diag,1099,0.098212945
10,2,Amy_L,diag,1099,0.293603904
11,2,Amy_R,diag,1099,0.199017699
12,2,EC_L,diag,1099,1.437275019
13,2,EC_R,diag,1099,1.209346272
14,2,Hippo_L,diag,1099,0.122411814
15,2,Hippo_R,diag,1099,0.062544754
16,2,M1l,diag,1099,0.189033104
17,2,M1r,diag,1099,0.463617611
18,2,mPFC,diag,1099,0.194117908
19,3,Amy_L,diag,1099,0.385111237
20,3,Amy_R,diag,1099,0.212592683
21,3,EC_L,diag,1099,4.101871198
22,3,EC_R,diag,1099,3.627766459
23,3,Hippo_L,diag,1099,0.129945624
24,3,Hippo_R,diag,1099,0.123110521
25,3,M1l,diag,1099,0.134660744
26,3,M1r,diag,1099,0.207359555
27,3,mPFC,diag,1099,0.492381219
28,4,Amy_L,diag,1099,0.87993687
29,4,Amy_R,diag,1099,0.637246642
30,4,EC_L,diag,1099,4.116341489
31,4,EC_R,diag,1099,5.214001074
32,4,Hippo_L,diag,1099,0.244445918
33,4,Hippo_R,diag,1099,0.315420373
34,4,M1l,diag,1099,0.209782966
35,4,M1r,diag,1099,0.410931005
36,4,mPFC,diag,1099,0.514597043
37,6,Amy_L,diag,1099,0.086151524
38,6,Amy_R,diag,1099,0.0954071
39,6,EC_L,diag,1099,0.776013229
40,6,EC_R,diag,1099,1.595700903
41,6,Hippo_L,diag,1099,0.069019592
42,6,Hippo_R,diag,1099,0.067884104
43,6,M1l,diag,1099,0.094881652
44,6,M1r,diag,1099,0.131239688
45,6,mPFC,diag,1099,0.117095107
46,7,Amy_L,diag,1112,0.413832782
47,7,Amy_R,diag,1112,0.472516038
48,7,EC_L,diag,1112,1.806915903
49,7,EC_R,diag,1112,2.999223382
50,7,Hippo_L,diag,1112,0.119057166
51,7,Hippo_R,diag,1112,0.168089061
52,7,M1l,diag,1112,0.08929848
53,7,M1r,diag,1112,0.110796094
54,7,mPFC,diag,1112,0.251155181
55,9,Amy_L,diag,1112,0.84158418
56,9,Amy_R,diag,1112,0.297538261
57,9,EC_L,diag,1112,4.42346498
58,9,EC_R,diag,1112,3.906504058
59,9,Hippo_L,diag,1112,0.312520729
60,9,Hippo_R,diag,1112,0.16295011
61,9,M1l,diag,1112,0.247093345
62,9,M1r,diag,1112,0.380395216
63,9,mPFC,diag,1112,0.673356332
64,10,Amy_L,diag,1112,0.983702018
65,10,Amy_R,diag,1112,1.248273451
66,10,EC_L,diag,1112,5.176616024
67,10,EC_R,diag,1112,9.614458217
68,10,Hippo_L,diag,1112,0.460117731
69,10,Hippo_R,diag,1112,0.697455418
70,10,M1l,diag,1112,0.263222645
71,10,M1r,diag,1112,0.310211528
72,10,mPFC,diag,1112,1.089986598
73,11,Amy_L,diag,1112,0.110590251
74,11,Amy_R,diag,1112,0.11910443
75,11,EC_L,diag,1112,1.117168984
76,11,EC_R,diag,1112,0.768152759
77,11,Hippo_L,diag,1112,0.102433446
78,11,Hippo_R,diag,1112,0.073537403
79,11,M1l,diag,1112,0.028808152
80,11,M1r,diag,1112,0.05585876
81,11,mPFC,diag,1112,0.227361309
82,15,Amy_L,diag,1112,0.153019137
83,15,Amy_R,diag,1112,0.098364278
84,15,EC_L,diag,1112,2.228111794
85,15,EC_R,diag,1112,1.041978232
86,15,Hippo_L,diag,1112,0.101468574
87,15,Hippo_R,diag,1112,0.099295163
88,15,M1l,diag,1112,0.057075095
89,15,M1r,diag,1112,0.072242483
90,15,mPFC,diag,1112,0.531670023
91,17,Amy_L,diag,1112,0.307513219
92,17,Amy_R,diag,1112,0.270715659
93,17,EC_L,diag,1112,1.119824679
94,17,EC_R,diag,1112,0.735001657
95,17,Hippo_L,diag,1112,0.115726416
96,17,Hippo_R,diag,1112,0.097331797
97,17,M1l,diag,1112,0.130137582
98,17,M1r,diag,1112,0.200332523
99,17,mPFC,diag,1112,0.273331331
100,18,Amy_L,diag,1112,0.16262781
101,18,Amy_R,diag,1112,0.08805933
102,18,EC_L,diag,1112,0.273675836
103,18,EC_R,diag,1112,0.239952031
104,18,Hippo_L,diag,1112,0.073914355
105,18,Hippo_R,diag,1112,0.06816828
106,18,M1l,diag,1112,0.095512051
107,18,M1r,diag,1112,0.110924898
108,18,mPFC,diag,1112,0.085458168
109,19,Amy_L,diag,1112,1.019615764
110,19,Amy_R,diag,1112,0.428027635
111,19,EC_L,diag,1112,3.797189343
112,19,EC_R,diag,1112,0.935996391
113,19,Hippo_L,diag,1112,0.734520638
114,19,Hippo_R,diag,1112,0.291996293
115,19,M1l,diag,1112,0.504647314
116,19,M1r,diag,1112,0.28881077
117,19,mPFC,diag,1112,1.50956304
118,21,Amy_L,diag,1112,0.109305736
119,21,Amy_R,diag,1112,0.143865541
120,21,EC_L,diag,1112,5.890223482
121,21,EC_R,diag,1112,0.715323319
122,21,Hippo_L,diag,1112,0.126632325
123,21,Hippo_R,diag,1112,0.109166499
124,21,M1l,diag,1112,0.108050312
125,21,M1r,diag,1112,0.146100354
126,21,mPFC,diag,1112,0.269910527
127,22,Amy_L,diag,1112,0.347316952
128,22,Amy_R,diag,1112,0.258414393
129,22,EC_L,diag,1112,3.739317296
130,22,EC_R,diag,1112,1.704309681
131,22,Hippo_L,diag,1112,0.235534606
132,22,Hippo_R,diag,1112,0.214121342
133,22,M1l,diag,1112,0.245752337
134,22,M1r,diag,1112,0.453446312
135,22,mPFC,diag,1112,0.688234118
136,23,Amy_L,diag,1112,0.249103724
137,23,Amy_R,diag,1112,0.150875356
138,23,EC_L,diag,1112,1.312814421
139,23,EC_R,diag,1112,0.351734594
140,23,Hippo_L,diag,1112,0.054856273
141,23,Hippo_R,diag,1112,0.057997207
142,23,M1l,diag,1112,0.079810711
143,23,M1r,diag,1112,0.258474856
144,23,mPFC,diag,1112,0.154681289
145,24,Amy_L,diag,1112,0.100953661
146,24,Amy_R,diag,1112,0.113955334
147,24,EC_L,diag,1112,0.792871688
148,24,EC_R,diag,1112,0.271705818
149,24,Hippo_L,diag,1112,0.07846896
150,24,Hippo_R,diag,1112,0.06101588
151,24,M1l,diag,1112,0.081411499
152,24,M1r,diag,1112,0.196352146
153,24,mPFC,diag,1112,0.065509037
154,25,Amy_L,diag,1112,0.289925911
155,25,Amy_R,diag,1112,0.193588537
156,25,EC_L,diag,1112,0.863928081
157,25,EC_R,diag,1112,0.522047495
158,25,Hippo_L,diag,1112,0.182545176
159,25,Hippo_R,diag,1112,0.080871588
160,25,M1l,diag,1112,0.117387572
161,25,M1r,diag,1112,0.105040448
162,25,mPFC,diag,1112,0.129264032
163,26,Amy_L,diag,1112,0.134097381
164,26,Amy_R,diag,1112,0.595825585
165,26,EC_L,diag,1112,0.350344717
166,26,EC_R,diag,1112,0.293986989
167,26,Hippo_L,diag,1112,0.06959697
168,26,Hippo_R,diag,1112,0.077307979
169,26,M1l,diag,1112,0.060428671
170,26,M1r,diag,1112,0.103163921
171,26,mPFC,diag,1112,0.150382378
172,27,Amy_L,diag,1112,0.166480651
173,27,Amy_R,diag,1112,0.36515016
174,27,EC_L,diag,1112,3.560180577
175,27,EC_R,diag,1112,0.608008029
176,27,Hippo_L,diag,1112,0.18476532
177,27,Hippo_R,diag,1112,0.195617696
178,27,M1l,diag,1112,0.090522655
179,27,M1r,diag,1112,0.120714838
180,27,mPFC,diag,1112,0.862933008
181,28,Amy_L,diag,1112,0.237613668
182,28,Amy_R,diag,1112,0.190538728
183,28,EC_L,diag,1112,2.486065666
184,28,EC_R,diag,1112,0.416108726
185,28,Hippo_L,diag,1112,0.341615997
186,28,Hippo_R,diag,1112,0.155837347
187,28,M1l,diag,1112,0.333700197
188,28,M1r,diag,1112,0.130722979
189,28,mPFC,diag,1112,0.115391159
190,29,Amy_L,diag,1112,0.096227005
191,29,Amy_R,diag,1112,0.061581928
192,29,EC_L,diag,1112,0.438245573
193,29,EC_R,diag,1112,0.146803214
194,29,Hippo_L,diag,1112,0.064236392
195,29,Hippo_R,diag,1112,0.038426606
196,29,M1l,diag,1112,0.035900434
197,29,M1r,diag,1112,0.087125831
198,29,mPFC,diag,1112,0.055954443
199,30,Amy_L,diag,1112,0.14933406
200,30,Amy_R,diag,1112,0.223890823
201,30,EC_L,diag,1112,0.689149305
202,30,EC_R,diag,1112,0.352750874
203,30,Hippo_L,diag,1112,0.090330605
204,30,Hippo_R,diag,1112,0.046369347
205,30,M1l,diag,1112,0.037085661
206,30,M1r,diag,1112,0.065172137
207,30,mPFC,diag,1112,0.058075626
208,31,Amy_L,diag,1112,0.283307159
209,31,Amy_R,diag,1112,0.849305307
210,31,EC_L,diag,1112,1.386545687
211,31,EC_R,diag,1112,0.650140524
212,31,Hippo_L,diag,1112,0.062757884
213,31,Hippo_R,diag,1112,0.062797278
214,31,M1l,diag,1112,0.051339772
215,31,M1r,diag,1112,0.06560419
216,31,mPFC,diag,1112,0.189023614
