,id,roi,model,TR,var
1,1,Amy_L,D2,540,0.121586663
2,1,Amy_R,D2,540,0.171241042
3,1,EC_L,D2,540,2.354192893
4,1,EC_R,D2,540,0.89840509
5,1,Hippo_L,D2,540,0.094059719
6,1,Hippo_R,D2,540,0.091681326
7,1,M1l,D2,540,0.100934876
8,1,M1r,D2,540,0.075174882
9,1,mPFC,D2,540,0.211510386
11,2,Amy_L,D2,540,0.236633558
12,2,Amy_R,D2,540,0.21735876
13,2,EC_L,D2,540,0.696151224
14,2,EC_R,D2,540,0.805253387
15,2,Hippo_L,D2,540,0.105703164
16,2,Hippo_R,D2,540,0.040817023
17,2,M1l,D2,540,0.110572891
18,2,M1r,D2,540,0.441855276
19,2,mPFC,D2,540,0.169165463
21,3,Amy_L,D2,540,0.137783396
22,3,Amy_R,D2,540,0.136316884
23,3,EC_L,D2,540,0.947123316
24,3,EC_R,D2,540,2.130277136
25,3,Hippo_L,D2,540,0.059914498
26,3,Hippo_R,D2,540,0.082158749
27,3,M1l,D2,540,0.06307976
28,3,M1r,D2,540,0.08416089
29,3,mPFC,D2,540,0.151144757
31,4,Amy_L,D2,540,0.776448479
32,4,Amy_R,D2,540,0.64462862
33,4,EC_L,D2,540,1.85034798
34,4,EC_R,D2,540,1.858958412
35,4,Hippo_L,D2,540,0.239863825
36,4,Hippo_R,D2,540,0.342071276
37,4,M1l,D2,540,0.240693344
38,4,M1r,D2,540,0.285707867
39,4,mPFC,D2,540,0.076343528
41,6,Amy_L,D2,540,0.082615471
42,6,Amy_R,D2,540,0.126089102
43,6,EC_L,D2,540,0.854003261
44,6,EC_R,D2,540,1.063367155
45,6,Hippo_L,D2,540,0.114437973
46,6,Hippo_R,D2,540,0.110626975
47,6,M1l,D2,540,0.163466308
48,6,M1r,D2,540,0.158665137
49,6,mPFC,D2,540,0.2051957
51,7,Amy_L,D2,547,0.413077154
52,7,Amy_R,D2,547,0.500708402
53,7,EC_L,D2,547,3.63394174
54,7,EC_R,D2,547,4.291800022
55,7,Hippo_L,D2,547,0.116445083
56,7,Hippo_R,D2,547,0.153352427
57,7,M1l,D2,547,0.158481694
58,7,M1r,D2,547,0.181672015
59,7,mPFC,D2,547,0.339860191
61,9,Amy_L,D2,547,0.609085008
62,9,Amy_R,D2,547,0.243197033
63,9,EC_L,D2,547,3.66361206
64,9,EC_R,D2,547,3.684529129
65,9,Hippo_L,D2,547,0.320361604
66,9,Hippo_R,D2,547,0.175674269
67,9,M1l,D2,547,0.248821887
68,9,M1r,D2,547,0.315639824
69,9,mPFC,D2,547,0.760637601
71,10,Amy_L,D2,547,0.472221146
72,10,Amy_R,D2,547,0.748112332
73,10,EC_L,D2,547,2.803654975
74,10,EC_R,D2,547,4.203210501
75,10,Hippo_L,D2,547,0.234666698
76,10,Hippo_R,D2,547,0.558322252
77,10,M1l,D2,547,0.288376757
78,10,M1r,D2,547,0.246800012
79,10,mPFC,D2,547,1.102237222
81,11,Amy_L,D2,547,0.123292445
82,11,Amy_R,D2,547,0.114541161
83,11,EC_L,D2,547,1.726277908
84,11,EC_R,D2,547,0.978516254
85,11,Hippo_L,D2,547,0.114252674
86,11,Hippo_R,D2,547,0.080376025
87,11,M1l,D2,547,0.054920829
88,11,M1r,D2,547,0.116249337
89,11,mPFC,D2,547,0.790807032
91,15,Amy_L,D2,547,0.17195175
92,15,Amy_R,D2,547,0.097601995
93,15,EC_L,D2,547,2.12826666
94,15,EC_R,D2,547,1.672625345
95,15,Hippo_L,D2,547,0.141854423
96,15,Hippo_R,D2,547,0.170077919
97,15,M1l,D2,547,0.080709076
98,15,M1r,D2,547,0.122225619
99,15,mPFC,D2,547,0.655084852
101,17,Amy_L,D2,547,0.527281362
102,17,Amy_R,D2,547,0.436019699
103,17,EC_L,D2,547,1.396303672
104,17,EC_R,D2,547,2.134197956
