,id,roi,model,TR,var
1,1,Amy_L,E,540,0.120377183
2,1,Amy_R,E,540,0.171352571
3,1,EC_L,E,540,2.342991285
4,1,EC_R,E,540,0.886427269
5,1,Hippo_L,E,540,0.09377266
6,1,Hippo_R,E,540,0.091653216
7,1,M1l,E,540,0.100655134
8,1,M1r,E,540,0.075121656
9,1,mPFC,E,540,0.212155153
10,2,Amy_L,E,540,0.237449767
11,2,Amy_R,E,540,0.218880472
12,2,EC_L,E,540,0.705787779
13,2,EC_R,E,540,0.806341781
14,2,Hippo_L,E,540,0.106018897
15,2,Hippo_R,E,540,0.04104341
16,2,M1l,E,540,0.109885719
17,2,M1r,E,540,0.443284983
18,2,mPFC,E,540,0.169595427
19,3,Amy_L,E,540,0.137361303
20,3,Amy_R,E,540,0.135713924
21,3,EC_L,E,540,0.947370465
22,3,EC_R,E,540,2.13410668
23,3,Hippo_L,E,540,0.05884599
24,3,Hippo_R,E,540,0.081914333
25,3,M1l,E,540,0.062504126
26,3,M1r,E,540,0.083913166
27,3,mPFC,E,540,0.15141587
28,4,Amy_L,E,540,0.774283822
29,4,Amy_R,E,540,0.644291417
30,4,EC_L,E,540,1.848236866
31,4,EC_R,E,540,1.857167189
32,4,Hippo_L,E,540,0.239531014
33,4,Hippo_R,E,540,0.340686208
34,4,M1l,E,540,0.239635722
35,4,M1r,E,540,0.285865971
36,4,mPFC,E,540,0.076253471
37,6,Amy_L,E,540,0.08135782
38,6,Amy_R,E,540,0.12378623
39,6,EC_L,E,540,0.856288142
40,6,EC_R,E,540,1.05460865
41,6,Hippo_L,E,540,0.114218846
42,6,Hippo_R,E,540,0.109316637
43,6,M1l,E,540,0.163660905
44,6,M1r,E,540,0.157843263
45,6,mPFC,E,540,0.202672761
46,7,Amy_L,E,547,0.412465153
47,7,Amy_R,E,547,0.500363573
48,7,EC_L,E,547,3.63385734
49,7,EC_R,E,547,4.304319162
50,7,Hippo_L,E,547,0.116058667
51,7,Hippo_R,E,547,0.153292689
52,7,M1l,E,547,0.158584613
53,7,M1r,E,547,0.181588312
54,7,mPFC,E,547,0.335300932
55,9,Amy_L,E,547,0.61389368
56,9,Amy_R,E,547,0.24516972
57,9,EC_L,E,547,3.695285417
58,9,EC_R,E,547,3.699103041
